	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	p	b	f
f8.g1.p1.u3	2,22759462	3,78E-01	0,662475	1,86E-01	-0,2561089	-0,26958832	-1,6151757	3,37E+00	p1	b0	f8
B1.b1.f8.g1.p1.u3	2,30325628	2,19E+00	0,8495808	5,72E-01	-0,37909146	-0,39904364	-1,9650764	5,11E+00	p1	b1	f8
B2.b2.f8.g1.p1.u3	1,38478627	5,19E-01	0,415712	1,09E-01	-0,08928523	-0,09398446	-0,9536681	3,10E+00	p1	b2	f8
B4.b5.f8.g1.p1.u3	0,90569869	2,90E-01	0,4557642	9,48E-02	-0,09300732	-0,09790244	-0,9733432	2,14E+00	p1	b5	f8
B6.b7.f8.g1.p1.u3	1,05593076	3,35E-01	0,4371956	9,61E-02	-0,08961792	-0,09433465	-0,9554432	2,40E+00	p1	b7	f8
f9.g1.p1.u3	2,43555795	5,43E-02	0,8729781	1,80E-01	-0,40645595	-0,42784837	-2,0347647	2,53E+00	p1	b0	f9
B1.b1.f9.g1.p1.u3	2,53123116	1,21E+00	0,8802467	4,32E-01	-0,42079352	-0,44294055	-2,0703414	4,65E+00	p1	b1	f9
B2.b2.f9.g1.p1.u3	0,95096342	2,33E-01	0,6375472	1,29E-01	-0,17165438	-0,18068882	-1,3223149	2,17E+00	p1	b2	f9
B4.b5.f9.g1.p1.u3	6,55471494	2,02E+01	0,7089948	6,14E-02	-0,96331472	-1,0140155	-3,1325034	3,61E+00	p1	b5	f9
B6.b7.f9.g1.p1.u3	0,60639453	1,02E-01	0,5626522	9,62E-02	-0,12644543	-0,13310046	-1,1349037	1,34E+00	p1	b7	f9

