	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	M	b	f
M4.B1.R2.b1.f6.g1.p1.u3.y1	2,42429027	0,909258263	0,8874822	0,36833454	-0,41422705	-0,43602847	-2,0541241	4,32E+00	M4	b1	f6
B2.R2.b2.f6.g1.p1.u3.y1	0,78268545	0,230343965	0,5588823	0,10939855	-0,13060003	-0,13747372	-1,1533977	1,97E+00	M0	b2	f6
M4.B2.R2.b2.f6.g1.p1.u3.y1	1,06603936	0,015767357	0,616245	0,10100927	-0,16667772	-0,17545023	-1,3030054	1,37E+00	M4	b2	f6
B4.R2.b5.f6.g1.p1.u3.y1	0,07717006	0,044223719	0,6840824	0,10345279	-0,15717647	-0,16544892	-1,2653225	9,14E-01	M0	b5	f6
M4.B4.R2.b5.f6.g1.p1.u3.y1	0,3182725	0,187722071	0,7076702	0,08930183	-0,17610639	-0,18537515	-1,3393529	1,15E+00	M4	b5	f6
B5.R2.b6.f6.g1.p1.u3.y1	0,71068497	0,089950463	0,7047869	0,12183329	-0,19185079	-0,2019482	-1,3979423	1,40E+00	M0	b6	f6
M4.B5.R2.b6.f6.g1.p1.u3.y1	0,92614127	0,143565442	0,7327033	0,10514213	-0,21549021	-0,2268318	-1,4815668	1,09E+00	M4	b6	f6
R2.f7.g1.p1.u3.y1	1,82259471	0,31527511	0,7908717	0,19898936	-0,3030828	-0,31903452	-1,7570661	2,92E+00	M0	b0	f7
M4.R2.f7.g1.p1.u3.y1	1,99556397	0,073109958	0,7985579	0,16934093	-0,32117758	-0,33808166	-1,8087563	2,48E+00	M4	b0	f7
B1.R2.b1.f7.g1.p1.u3.y1	2,28889943	1,700709278	0,8701148	0,49566321	-0,39023915	-0,41077806	-1,9937599	4,87E+00	M0	b1	f7
M4.B1.R2.b1.f7.g1.p1.u3.y1	2,35E+00	1,330233218	0,853234	0,42341231	-0,38548871	-0,40577759	-1,9815876	4,66E+00	M4	b1	f7
B2.R2.b2.f7.g1.p1.u3.y1	8,51E-01	0,502195984	0,4775482	0,11483138	-0,09993041	-0,10518991	-1,008919	2,70E+00	M0	b2	f7
M4.B2.R2.b2.f7.g1.p1.u3.y1	1,12E+00	0,22585483	0,5297396	0,10851141	-0,12958447	-0,1364047	-1,1489045	2,17E+00	M4	b2	f7
B4.R2.b5.f7.g1.p1.u3.y1	9,83E-02	0,30635066	0,5526039	0,1043451	-0,10811525	-0,11380552	-1,0494238	1,6539157	M0	b5	f7
M4.B4.R2.b5.f7.g1.p1.u3.y1	3,44E-01	0,07423882	0,5685269	0,09133415	-0,12076065	-0,12711648	-1,1090986	0,9995901	M4	b5	f7
