	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
B3.b3.f10.g1.r1.u3.y1	1,7203884	5,90E-01	0,989959	1,19E-01	-0,40522531	-0,42655296	-2,031682	1,84E+00	b3	f10
B7.b4.f10.g1.r1.u3.y1	1,3940647	3,01E-01	0,8646813	1,19E-01	-0,31184671	-0,3282597	-1,7822886	1,43E+00	b4	f10
B4.b5.f10.g1.r1.u3.y1	3,6815283	1,45E+00	0,8289832	9,89E-02	-0,52696975	-0,554705	-2,3168627	2,07E+00	b5	f10
B5.b6.f10.g1.r1.u3.y1	1,3046869	3,28E-01	0,847256	1,12E-01	-0,29629266	-0,31188702	-1,7372723	1,36E+00	b6	f10
B6.b7.f10.g1.r1.u3.y1	0,8732111	2,99E-01	0,8006092	1,01E-01	-0,24544097	-0,25835891	-1,5811788	1,28E+00	b7	f10
f11.g1.r1.u3.y1	6,4014548	2,59E+05	0,7055716	6,45E-05	-0,9998107	-1,05243232	-3,1912905	3,01E+03	 b0	f11
B1.b1.f11.g1.r1.u3.y1	3,1100834	2,56E-01	0,8642846	1,74E-01	-0,47611833	-0,50117719	-2,2022413	2,73E+00	b1	f11
B2.b2.f11.g1.r1.u3.y1	6,4102614	2,23E+02	0,6751421	4,03E-03	-0,9393029	-0,9887399	-3,0932162	6,45E+01	b2	f11
B3.b3.f11.g1.r1.u3.y1	6,4507514	1,85E+05	0,7112025	1,50E-05	-0,99316407	-1,04543587	-3,1806651	1,04E+04	b3	f11
B7.b4.f11.g1.r1.u3.y1	6,3697159	3,87E+02	0,7020426	1,01E-02	-0,99655726	-1,04900764	-3,1860939	1,74E+01	b4	f11
B4.b5.f11.g1.r1.u3.y1	6,3329613	7,99E+08	0,7109605	3,17E-09	-0,99184457	-1,04404691	-3,1785515	4,93E+07	b5	f11
B5.b6.f11.g1.r1.u3.y1	1,7983347	4,78E-01	0,8981555	1,17E-01	-0,36206231	-0,38111822	-1,9204328	1,65E+00	b6	f11 
B6.b7.f11.g1.r1.u3.y1	6,4527939	5,09E+04	0,7119045	5,36E-05	-0,9929767	-1,04523863	-3,1803651	2,95E+03	b7	f11
f12.g1.r1.u3.y1	6,3437602	1,27E+02	0,7628049	4,78E-02	-0,99860367	-1,05116176	-3,1893635	9,29E+00	b0	f12
B1.b1.f12.g1.r1.u3.y1	2,7370129	9,56E-01	0,8752216	3,98E-01	-0,43976089	-0,4629062	-2,1164877	4,52E+00	b1	f12
B2.b2.f12.g1.r1.u3.y1	6,5704191	9,81E+01	0,708178	1,13E-02	-0,95781485	-1,00822616	-3,1235483	1,65E+01	b2	f12
B3.b3.f12.g1.r1.u3.y1	6,4466806	3,18E+03	0,7118425	9,46E-04	-0,99421089	-1,04653777	-3,1823409	1,69E+02	b3	f12
B7.b4.f12.g1.r1.u3.y1	4,7340098	1,56E+00	0,8830536	1,52E-01	-0,74291263	-0,78201329	-2,7509096	2,30E+00	  b4	f12
B4.b5.f12.g1.r1.u3.y1	6,42993	3,30E+02	0,7570699	2,57E-02	-0,99926004	-1,05185267	-3,1904115	8,19E+00	b5	f12
B5.b6.f12.g1.r1.u3.y1	1,1065562	4,45E-03	0,7404013	1,24E-01	-0,22898975	-0,24104184	-1,5272687	1,41E+00	b6	f12
B6.b7.f12.g1.r1.u3.y1	0,6496476	6,64E-02	0,6055211	1,01E-01	-0,14560238	-0,15326566	-1,2178441	1,21E+00	b7	f12
f13.g1.r1.u3.y1	6,0143913	1,69E+01	0,8709433	7,87E-02	-0,97408444	-1,02535204	-3,1499652	5,53E+00	b0	f13
B1.b1.f13.g1.r1.u3.y1	2,8654838	9,16E-01	0,9267488	4,28E-01	-0,48711247	-0,51274997	-2,2275223	4,55E+00	b1	f13
B2.b2.f13.g1.r1.u3.y1	6,1842141	4,32E+02	0,6629622	1,39E-03	-0,8730631	-0,91901379	-2,9821554	1,15E+02	b2	f13
B3.b3.f13.g1.r1.u3.y1	6,1260029	6,45E+02	0,6654563	8,92E-04	-0,86343169	-0,90887546	-2,9656605	1,70E+02	b3	f13
B7.b4.f13.g1.r1.u3.y1	0,9255457	1,25E-01	0,7591882	1,40E-01	-0,22826642	-0,24028044	-1,5248547	1,64E+00	b4	f13
B4.b5.f13.g1.r1.u3.y1	5,3916884	6,15E+00	0,7591308	6,16E-02	-0,7863434	-0,82772989	-2,8301768	4,12E+00	b5	f13
B5.b6.f13.g1.r1.u3.y1	1,0615945	8,27E-02	0,7855981	1,43E-01	-0,24902172	-0,26212813	-1,592671	1,65E+00	b6	f13
B6.b7.f13.g1.r1.u3.y1	0,5114243	1,88E-01	0,7459025	1,37E-01	-0,20117895	-0,21176732	-1,4315243	1,61E+00	b7	f13
f14.g1.r1.u3.y1	6,2820589	4,49E+04	0,7037611	3,04E-05	-0,97247299	-1,02365578	-3,1473586	5,06E+03	b0	f14
B1.b1.f14.g1.r1.u3.y1	2,7556768	7,97E-01	0,8985631	3,78E-01	-0,45670905	-0,48074636	-2,1568863	4,37E+00	b1	f14
B2.b2.f14.g1.r1.u3.y1	6,6148624	6,41E+01	0,793541	2,81E-02	-0,98355278	-1,03531871	-3,1652373	1,18E+01	b2	f14
B3.b3.f14.g1.r1.u3.y1	6,5311633	4,36E+02	0,7254799	3,78E-03	-0,98094892	-1,03257781	-3,1610447	5,62E+01	b3	f14
B7.b4.f14.g1.r1.u3.y1	5,7937354	1,21E+01	0,7972652	5,59E-02	-0,91072342	-0,95865623	-3,0457952	3,61E+00	b4	f14
B4.b5.f14.g1.r1.u3.y1	6,3710159	1,09E+03	0,7014946	3,63E-03	-0,99662129	-1,04907504	-3,1861963	5,33E+01	b5	f14
B5.b6.f14.g1.r1.u3.y1	1,0241877	7,58E-04	0,6583619	1,09E-01	-0,18468546	-0,19440575	-1,3715884	1,27E+00	b6	f14
B6.b7.f14.g1.r1.u3.y1	0,6477096	1,55E-02	0,6306263	1,00E-01	-0,15624823	-0,16447182	-1,2615806	1,06E+00	b7	f14
f2.g1.r1.u3.y1	1,9631808	1,82E-01	0,8926166	1,50E-01	-0,3733102	-0,39295811	-1,9500349	1,72E+00	b0	f2
B1.b1.f2.g1.r1.u3.y1	3,3903709	8,56E-01	0,9989523	5,20E-01	-0,59834791	-0,6298399	-2,4687911	4,78E+00	b1	f2
B2.b2.f2.g1.r1.u3.y1	3,0755402	3,68E-01	0,6800925	1,20E-01	-0,33940063	-0,35726382	-1,8593612	2,09E+00	b2	f2
B3.b3.f2.g1.r1.u3.y1	0,9121528	5,45E-02	0,7455192	1,16E-01	-0,22093361	-0,2325617	-1,5001626	1,20E+00	b3	f2
B7.b4.f2.g1.r1.u3.y1	0,9838568	3,57E-02	0,7960752	1,28E-01	-0,24964141	-0,26278043	-1,5946514	1,34E+00	b4	f2
B4.b5.f2.g1.r1.u3.y1	0,3317193	1,18E-01	0,7968335	1,07E-01	-0,21521285	-0,22653985	-1,480613	1,05E+00	b5	f2
B5.b6.f2.g1.r1.u3.y1	0,8488987	4,48E-02	0,7636581	1,19E-01	-0,22628392	-0,2381936	-1,5182185	1,17E+00	b6	f2
B6.b7.f2.g1.r1.u3.y1	1,687092	4,87E-02	1,1124444	2,04E-01	-0,46460817	-0,48906123	-2,1754588	1,82E+00	b7	f2
f3.g1.r1.u3.y1	1,9617164	6,00E-02	0,8548281	1,79E-01	-0,35137883	-0,36987245	-1,8918872	2,43E+00	b0	f3
B1.b1.f3.g1.r1.u3.y1	2,3774307	1,38E+00	0,8847839	4,53E-01	-0,40784867	-0,42931439	-2,0382478	4,71E+00	b1	f3
B2.b2.f3.g1.r1.u3.y1	1,1784144	2,70E-01	0,5164129	1,10E-01	-0,12562364	-0,13223541	-1,1312097	2,36E+00	b2	f3
B3.b3.f3.g1.r1.u3.y1	2,1956046	8,94E-02	0,6827697	1,27E-01	-0,26638182	-0,28040192	-1,6472509	1,96E+00	b3	f3
B7.b4.f3.g1.r1.u3.y1	0,8241285	2,07E-01	0,6804342	1,32E-01	-0,18585831	-0,19564032	-1,3759366	1,89E+00	b4	f3
B4.b5.f3.g1.r1.u3.y1	0,2277887	1,27E-01	0,6118692	1,02E-01	-0,13389569	-0,14094283	-1,1678599	1,14E+00	b5	f3
B5.b6.f3.g1.r1.u3.y1	0,7361951	1,85E-01	0,6501025	1,22E-01	-0,1682977	-0,17715547	-1,3093222	1,76E+00	b6	f3
B6.b7.f3.g1.r1.u3.y1	0,3738784	1,87E-01	0,6218524	1,11E-01	-0,1426709	-0,15017989	-1,205522	1,49E+00	b7	f3
f4.g1.r1.u3.y1	2,0653725	3,32E-01	0,9166118	1,40E-01	-0,39642124	-0,41728552	-2,0094903	1,61E+00	b0	f4
B1.b1.f4.g1.r1.u3.y1	2,5618425	8,38E-01	0,9192114	3,80E-01	-0,44804427	-0,47162555	-2,1363279	4,31E+00	b1	f4
B2.b2.f4.g1.r1.u3.y1	5,8913125	1,22E+01	1,004933	1,10E-01	-0,97575262	-1,02710802	-3,1526613	2,80E+00	b2	f4
B3.b3.f4.g1.r1.u3.y1	1,0718546	1,72E-01	0,8008471	1,15E-01	-0,25728497	-0,27082628	-1,61888	1,24E+00	b3	f4
B7.b4.f4.g1.r1.u3.y1	1,1181689	1,47E-01	0,8387438	1,25E-01	-0,27934231	-0,29404454	-1,6868475	1,37E+00	b4	f4
B4.b5.f4.g1.r1.u3.y1	0,555225	2,53E-01	0,8628586	1,08E-01	-0,25675734	-0,27027089	-1,6172192	1,34E+00	b5	f4
B5.b6.f4.g1.r1.u3.y1	0,9889102	1,59E-01	0,8122167	1,17E-01	-0,25793082	-0,27150613	-1,6209106	1,21E+00	b6	f4
B6.b7.f4.g1.r1.u3.y1	0,5465539	1,36E-01	0,7907373	1,08E-01	-0,22314157	-0,23488587	-1,5076401	1,08E+00	b7	f4
f5.g1.r1.u3.y1	2,1170248	9,90E-02	0,857912	1,59E-01	-0,36687375	-0,3861829	-1,933151	2,12E+00	b0	f5
B1.b1.f5.g1.r1.u3.y1	2,4530955	1,13E+00	0,8953629	4,18E-01	-0,42199655	-0,4442069	-2,0732988	4,55E+00	b1	f5
B2.b2.f5.g1.r1.u3.y1	1,3780731	9,59E-02	0,5575953	1,06E-01	-0,15190015	-0,15989489	-1,2439031	1,98E+00	b2	f5
B3.b3.f5.g1.r1.u3.y1	3,9600262	9,98E-01	0,7469511	1,15E-01	-0,50197777	-0,52839766	-2,2612558	1,88E+00	b3	f5
B7.b4.f5.g1.r1.u3.y1	0,9378696	6,28E-02	0,7415559	1,30E-01	-0,22038073	-0,23197971	-1,4982844	1,48E+00	b4	f5
B4.b5.f5.g1.r1.u3.y1	2,4717981	4,64E-01	0,908596	1,37E-01	-0,43199769	-0,45473441	-2,0977231	1,30E+00	b5	f5
B5.b6.f5.g1.r1.u3.y1	0,8340435	4,51E-02	0,7098803	1,20E-01	-0,20002345	-0,210551	-1,4274073	1,34E+00	b6	f5
B6.b7.f5.g1.r1.u3.y1	0,4546664	5,29E-02	0,6788042	1,09E-01	-0,16935846	-0,17827207	-1,313442	1,06E+00	b7	f5
f6.g1.r1.u3.y1	1,891268	4,48E-02	0,8634847	1,61E-01	-0,35036001	-0,36880001	-1,8891425	2,04E+00	b0	f6
B1.b1.f6.g1.r1.u3.y1	2,4241595	1,20E+00	0,9065198	4,34E-01	-0,42578422	-0,44819392	-2,0825826	4,59E+00	b1	f6
B2.b2.f6.g1.r1.u3.y1	0,788017	2,09E-01	0,5665999	1,09E-01	-0,13401432	-0,14106771	-1,1683771	1,91E+00	b2	f6
B3.b3.f6.g1.r1.u3.y1	0,8327783	5,23E-02	0,7007054	1,19E-01	-0,19567006	-0,20596848	-1,4117885	1,35E+00	b3	f6
B7.b4.f6.g1.r1.u3.y1	0,860839	7,48E-02	0,7505921	1,31E-01	-0,22066366	-0,23227754	-1,4992459	1,46E+00	b4	f6
B4.b5.f6.g1.r1.u3.y1	0,0956617	2,19E-02	0,6947558	1,03E-01	-0,16211717	-0,17064965	-1,2850557	9,13E-01	b5	f6
B5.b6.f6.g1.r1.u3.y1	0,7261604	6,66E-02	0,7129633	1,21E-01	-0,1963143	-0,20664663	-1,4141107	1,33E+00	b6	f6
B6.b7.f6.g1.r1.u3.y1	0,3342933	7,41E-02	0,6932724	1,12E-01	-0,17068032	-0,17966349	-1,3185578	1,06E+00	b7	f6
f7.g1.r1.u3.y1	1,8298704	2,77E-01	0,7923382	1,94E-01	-0,30448157	-0,32050692	-1,761116	2,82E+00	b0	f7
B1.b1.f7.g1.r1.u3.y1	2,3014264	1,67E+00	0,8728591	4,94E-01	-0,39311323	-0,4138034	-2,0010884	4,86E+00	b1	f7
B2.b2.f7.g1.r1.u3.y1	0,8471857	4,79E-01	0,4819242	1,14E-01	-0,10151833	-0,1068614	-1,0169033	2,64E+00	b2	f7
B3.b3.f7.g1.r1.u3.y1	0,764196	3,39E-01	0,5699695	1,21E-01	-0,1346227	-0,1417081	-1,1710262	2,22E+00	b3	f7
B7.b4.f7.g1.r1.u3.y1	0,7434059	3,76E-01	0,6234535	1,36E-01	-0,1568227	-0,16507653	-1,2638977	2,30E+00	b4	f7
B4.b5.f7.g1.r1.u3.y1	0,1037827	2,83E-01	0,5596504	1,04E-01	-0,11077489	-0,11660515	-1,0622534	1,58E+00	b5	f7
B5.b6.f7.g1.r1.u3.y1	0,6731991	3,49E-01	0,5935092	1,26E-01	-0,14137435	-0,14881511	-1,2000318	2,19E+00	b6	f7
B6.b7.f7.g1.r1.u3.y1	0,3279144	3,46E-01	0,5681744	1,14E-01	-0,12015466	-0,12647859	-1,1063123	1,95E+00	b7	f7
f8.g1.r1.u3.y1	2,2280102	3,78E-01	0,6626193	1,86E-01	-0,25622778	-0,26971345	-1,6155506	3,37E+00	b0	f8
B1.b1.f8.g1.r1.u3.y1	2,3035609	2,19E+00	0,8497638	5,72E-01	-0,37923264	-0,39919225	-1,9654423	5,11E+00	b1	f8
B2.b2.f8.g1.r1.u3.y1	1,3843973	5,19E-01	0,4156908	1,09E-01	-0,08926705	-0,09396531	-0,953571	3,10E+00	b2	f8
B3.b3.f8.g1.r1.u3.y1	1,171218	4,28E-01	0,4115095	9,83E-02	-0,08259071	-0,08693759	-0,917219	2,74E+00	b3	f8
B7.b4.f8.g1.r1.u3.y1	1,0706031	4,86E-01	0,4422267	1,08E-01	-0,09190429	-0,09674136	-0,9675543	2,81E+00	b4	f8
B4.b5.f8.g1.r1.u3.y1	0,9052462	2,90E-01	0,4557521	9,48E-02	-0,09299165	-0,09788595	-0,9732612	2,14E+00	b5	f8
B5.b6.f8.g1.r1.u3.y1	1,1237654	4,34E-01	0,4655037	1,11E-01	-0,10249136	-0,10788565	-1,0217651	2,72E+00	b6	f8
B6.b7.f8.g1.r1.u3.y1	1,0554229	3,35E-01	0,4371397	9,61E-02	-0,08958439	-0,09429936	-0,9552644	2,40E+00	b7	f8
f9.g1.r1.u3.y1	2,5127104	1,72E-01	0,7747231	1,44E-01	-0,35141763	-0,36991329	-1,8919917	2,29E+00	b0	f9
B1.b1.f9.g1.r1.u3.y1	2,5315504	1,21E+00	0,8803529	4,32E-01	-0,42089304	-0,44304531	-2,0705862	4,65E+00	b1	f9
B2.b2.f9.g1.r1.u3.y1	1,9615523	1,98E-02	0,8259469	1,66E-01	-0,33451702	-0,35212318	-1,8459357	2,37E+00	b2	f9
B3.b3.f9.g1.r1.u3.y1	5,0336354	1,74E+00	0,7332584	1,22E-01	-0,68045482	-0,71626823	-2,6327347	2,83E+00	b3	f9
B7.b4.f9.g1.r1.u3.y1	0,9337358	1,47E-01	0,6377201	1,20E-01	-0,17099448	-0,17999419	-1,3197707	1,78E+00	b4	f9
B4.b5.f9.g1.r1.u3.y1	0,3459323	6,93E-02	0,6013639	9,63E-02	-0,13356704	-0,14059689	-1,1664258	9,95E-01	b5	f9
B5.b6.f9.g1.r1.u3.y1	0,914799	1,17E-01	0,6241452	1,14E-01	-0,16398705	-0,17261794	-1,2924454	1,67E+00	b6	f9
B6.b7.f9.g1.r1.u3.y1	0,6076637	1,02E-01	0,5628342	9,62E-02	-0,12655877	-0,13321975	-1,1354122	1,34E+00	b7	f9

