	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
g1.r1.u3.y1	2,2856973	1,67E-01	0,8761624	1,58E-01	-0,39358888	-0,41430408	-2,0022987	2,12E+00	b0	f0
B1.b1.g1.r1.u3.y1	2,5077891	1,06E+00	0,8991782	4,11E-01	-0,43003452	-0,45266791	-2,0929512	4,51E+00	b1	f0
B2.b2.g1.r1.u3.y1	0,9841256	1,12E-01	0,5868865	1,07E-01	-0,14991744	-0,15780783	-1,2357583	1,71E+00	b2	f0
B3.b3.g1.r1.u3.y1	0,8530809	1,55E-02	0,8836163	1,42E-01	-0,28453098	-0,2995063	-1,7024416	1,28E+00	b3	f0
B7.b4.g1.r1.u3.y1	0,9609438	3,47E-02	0,7387415	1,26E-01	-0,22024019	-0,23183178	-1,4978066	1,40E+00	b4	f0
B4.b5.g1.r1.u3.y1	0,7740688	1,45E-01	0,8403541	1,18E-01	-0,25883231	-0,27245506	-1,6237408	1,01E+00	b5	f0
B5.b6.g1.r1.u3.y1	0,8702063	1,74E-02	0,7132097	1,18E-01	-0,20335512	-0,21405802	-1,4392459	1,27E+00	b6	f0
B6.b7.g1.r1.u3.y1	0,4879982	2,24E-02	0,6701003	1,05E-01	-0,16696793	-0,17575571	-1,3041393	9,87E-01	b7	f0
f1.g1.r1.u3.y1	2,0147364	2,59E-01	0,8776696	1,39E-01	-0,36929047	-0,38872681	-1,9395076	1,60E+00	b0	f1
B1.b1.f1.g1.r1.u3.y1	2,5627649	8,47E-01	0,9083499	3,77E-01	-0,44151095	-0,46474837	-2,1206949	4,32E+00	b1	f1
B2.b2.f1.g1.r1.u3.y1	4,7969229	1,53E+00	0,6636816	1,02E-01	-0,55816578	-0,58754293	-2,3844546	2,65E+00	b2	f1
B3.b3.f1.g1.r1.u3.y1	1,8079697	3,84E-01	1,0149628	1,43E-01	-0,42645745	-0,44890258	-2,0842284	1,59E+00	b3	f1
B7.b4.f1.g1.r1.u3.y1	1,142073	1,23E-01	0,8222321	1,25E-01	-0,27249354	-0,28683531	-1,6660405	1,35E+00	b4	f1
B4.b5.f1.g1.r1.u3.y1	1,5430907	5,32E-01	1,0170483	1,23E-01	-0,40366842	-0,42491413	-2,0277753	1,51E+00	b5	f1
B5.b6.f1.g1.r1.u3.y1	1,0313254	1,42E-01	0,7958752	1,17E-01	-0,25235425	-0,26563605	-1,6032925	1,20E+00	b6	f1
B6.b7.f1.g1.r1.u3.y1	0,6144366	1,23E-01	0,7657177	1,07E-01	-0,2151249	-0,22644726	-1,4803104	1,04E+00	b7	f1
f10.g1.r1.u3.y1	2,408899	5,56E-01	0,9057715	1,26E-01	-0,42376071	-0,4460639	-2,077628	1,73E+00	b0	f10
B1.b1.f10.g1.r1.u3.y1	2,737859	5,88E-01	0,9109618	3,38E-01	-0,46247213	-0,48681277	-2,1704522	4,09E+00	b1	f10
B2.b2.f10.g1.r1.u3.y1	3,2999889	1,28E+00	1,187249	1,47E-01	-0,68158581	-0,71745874	-2,6349217	1,91E+00	b2	f10
