	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
R2.g1.p1.u3.y1	2,0461152	0,10203017	0,8575638	0,15624383	-0,36033099	-0,37929578	-1,9158357	2,0402197	b0	f0
B1.R2.b1.g1.p1.u3.y1	2,50758083	1,06012244	0,8991416	0,41049166	-0,42999018	-0,45262125	-2,0928433	4,5078366	 b1	f0
B2.R2.b2.g1.p1.u3.y1	1,15557684	0,10470874	0,5898129	0,10981091	-0,1580625	-0,16638158	-1,2688839	1,8450668	b2	f0
B3.R2.b3.g1.p1.u3.y1	0,88635441	0,0110122	0,6952888	0,11440361	-0,19568099	-0,20597999	-1,4118279	1,2343494	b3	f0
B7.R2.b4.g1.p1.u3.y1	0,95708653	0,03480459	0,7348096	0,12539171	-0,21812753	-0,22960792	-1,4906054	1,3980069	b4	f0
B4.R2.b5.g1.p1.u3.y1	0,35474723	0,05858238	0,7778706	0,11105698	-0,2079835	-0,21893	-1,4555324	1,0228945	b5	f0
B5.R2.b6.g1.p1.u3.y1	0,86973764	0,01762278	0,7130973	0,11792422	-0,2032789	-0,21397779	-1,4389762	1,2704794	b6	f0
B6.R2.b7.g1.p1.u3.y1	0,48273826	0,02328035	0,6702913	0,10505201	-0,16684042	-0,1756215	-1,3036412	0,9860061	b7	f0
R2.f1.g1.p1.u3.y1	1,97911709	0,06734541	0,7786938	0,16339641	-0,30809032	-0,3243056	-1,7715217	2,369898	b0	f1
B1.R2.b1.f1.g1.p1.u3.y1	2,44091769	1,2746117	0,8834108	0,43809479	-0,41342615	-0,43518542	-2,0521373	4,6564503	b1	f1
B2.R2.b2.f1.g1.p1.u3.y1	6,12354829	6,67890668	0,6424453	0,06283617	-0,8156192	-0,85854652	-2,8823795	4,40531	b2	f1
B3.R2.b3.f1.g1.p1.u3.y1	0,7271767	0,15161261	0,6439617	0,11753012	-0,16520367	-0,1738986	-1,2972309	1,6373067	b3	f1
B7.R2.b4.f1.g1.p1.u3.y1	0,87869108	0,17238165	0,6696767	0,12744296	-0,18335079	-0,19300084	-1,3666234	1,8198779	b4	f1
B4.R2.b5.f1.g1.p1.u3.y1	1,05680019	0,09616663	0,8396337	0,12916574	-0,27583022	-0,2903476	-1,6762098	1,2327989	b5	f1
B5.R2.b6.f1.g1.p1.u3.y1	0,81346236	0,14773928	0,6490183	0,11960323	-0,17103635	-0,18003826	-1,3199323	1,6986248	b6	f1
B6.R2.b7.f1.g1.p1.u3.y1	0,46140147	0,14571379	0,6042658	0,10540214	-0,13852904	-0,14582005	-1,1878945	1,3995786	b7	f1
R2.f10.g1.p1.u3.y1	2,29195046	0,4944893	0,8868337	0,12550228	-0,40062669	-0,4217123	-2,020121	1,6306082	b0	f10
B1.R2.b1.f10.g1.p1.u3.y1	2,73982909	0,5828313	0,9116686	0,337272	-0,46313638	-0,48751198	-2,1720104	4,0856108	b1	f10
B2.R2.b2.f10.g1.p1.u3.y1	5,70464896	8,1450661	0,9164976	0,0982777	-0,93882851	-0,98824054	-3,092435	3,0129058	b2	f10
B3.R2.b3.f10.g1.p1.u3.y1	1,29133163	0,34898417	0,8520018	0,11076213	-0,29784141	-0,31351727	-1,7418068	1,4756429	b3	f10
B7.R2.b4.f10.g1.p1.u3.y1	1,40952984	0,31960866	0,8681708	0,11784717	-0,3148322	-0,33140232	-1,7907997	1,4406979	b4	f10
B4.R2.b5.f10.g1.p1.u3.y1	0,73082272	0,41441006	0,8872128	0,10079579	-0,27859263	-0,2932554	-1,6845824	1,8015015	b5	f10
B5.R2.b6.f10.g1.p1.u3.y1	1,3267546	0,3495894	0,8530902	0,11152207	-0,30089789	-0,31673462	-1,7507213	1,3854262	b6	f10
B6.R2.b7.f10.g1.p1.u3.y1	0,88530441	0,3169934	0,8074581	0,10042848	-0,24946323	-0,26259288	-1,5940822	1,3153835	b7	f10
R2.f2.g1.p1.u3.y1	1,86334473	0,1407961	0,8079868	0,17793311	-0,31610955	-0,3327469	-1,7944289	2,512551	b0	f2
B1.R2.b1.f2.g1.p1.u3.y1	2,38982605	1,42466058	0,8888501	0,46520825	-0,41156867	-0,43323018	-2,0475221	4,7429464	b1	f2
B2.R2.b2.f2.g1.p1.u3.y1	0,83051074	0,34855203	0,5045702	0,10873101	-0,10993743	-0,11572361	-1,0582304	2,3211406	b2	f2
B3.R2.b3.f2.g1.p1.u3.y1	0,78574183	0,20676289	0,6075702	0,11698607	-0,1515051	-0,15947905	-1,2422845	1,8552544	b3	f2
B7.R2.b4.f2.g1.p1.u3.y1	0,78537203	0,23804713	0,6607416	0,13087878	-0,17514421	-0,18436232	-1,335689	1,9508218	b4	f2
B4.R2.b5.f2.g1.p1.u3.y1	0,11726246	0,16185457	0,5955513	0,10042294	-0,12430004	-0,13084215	-1,1252346	1,1654152	b5	f2
B5.R2.b6.f2.g1.p1.u3.y1	0,70386215	0,21905666	0,6336614	0,12194158	-0,15974293	-0,16815045	-1,275611	1,843379	b6	f2
B6.R2.b7.f2.g1.p1.u3.y1	0,34437008	0,21626906	0,5981264	0,1089279	-0,13224247	-0,1392026	-1,1606277	1,5567628	b7	f2
R2.f3.g1.p1.u3.y1	1,82797424	0,42142787	0,7576944	0,20556479	-0,2843729	-0,29933989	-1,7019686	3,1819124	b0	f3
B1.R2.b1.f3.g1.p1.u3.y1	2,30223038	1,81892631	0,8635511	0,51442316	-0,38753365	-0,40793015	-1,9868366	4,9428862	b1	f3
B2.R2.b2.f3.g1.p1.u3.y1	0,91870312	0,56664972	0,4518729	0,11430727	-0,0918569	-0,09669147	-0,9673048	2,8993278	b2	f3
B3.R2.b3.f3.g1.p1.u3.y1	0,79637332	0,43862273	0,5168834	0,11830402	-0,11385766	-0,11985017	-1,0769327	2,5032367	b3	f3
B7.R2.b4.f3.g1.p1.u3.y1	0,75251415	0,48392224	0,5699	0,13402842	-0,13419737	-0,14126039	-1,1691748	2,5924732	b4	f3
B4.R2.b5.f3.g1.p1.u3.y1	0,19063896	0,37065012	0,5093816	0,10202736	-0,09524946	-0,10026259	-0,9850056	1,9001641	b5	f3
B5.R2.b6.f3.g1.p1.u3.y1	0,71697663	0,44811681	0,5531663	0,12620046	-0,12610379	-0,13274083	-1,1333695	2,4739219	b6	f3
B6.R2.b7.f3.g1.p1.u3.y1	0,39841709	0,43397898	0,5160177	0,11126894	-0,102654	-0,10805684	-1,0225755	2,2161668	b7	f3
R2.f4.g1.p1.u3.y1	2,00597761	0,27363844	0,9243912	0,14564413	-0,39532478	-0,41613135	-2,0067093	1,615954	b0	f4
B1.R2.b1.f4.g1.p1.u3.y1	2,54197437	0,86270432	0,9164858	0,38206235	-0,4442422	-0,46762337	-2,1272442	4,3263273	b1	f4
B2.R2.b2.f4.g1.p1.u3.y1	4,26183442	1,12778333	0,7007644	0,10918008	-0,50627146	-0,53291732	-2,2709061	2,1567158	b2	f4
B3.R2.b3.f4.g1.p1.u3.y1	0,97099567	0,13472311	0,8077564	0,11817486	-0,25465009	-0,26805273	-1,6105691	1,2140498	b3	f4
B7.R2.b4.f4.g1.p1.u3.y1	1,08250318	0,11533355	0,8273944	0,12551039	-0,27130978	-0,28558924	-1,6624178	1,347591	b4	f4
B4.R2.b5.f4.g1.p1.u3.y1	0,34364308	0,19745375	0,8425847	0,10649666	-0,23605167	-0,24847545	-1,55064	1,2930501	b5	f4
B5.R2.b6.f4.g1.p1.u3.y1	0,95908945	0,12903029	0,8019146	0,11764889	-0,2510643	-0,26427821	-1,5991895	1,1997261	b6	f4
