	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	c	b	f
f13.g1.r1.u3.y1	6,0143913	1,69E+01	0,8709433	7,87E-02	-0,97408444	-1,02535204	-3,1499652	5,53E+00	c0	b0	f13
c1.f13.g1.r1.u3.y1	6,3599526	9,01E+01	0,6967808	2,40E-02	-0,9890802	-1,04113706	-3,174119	1,13E+01	c1	b0	f13
B1.b1.f13.g1.r1.u3.y1	2,8654838	9,16E-01	0,9267488	4,28E-01	-0,48711247	-0,51274997	-2,2275223	4,55E+00	c0	b1	f13
B1.b1.c1.f13.g1.r1.u3.y1	3,0889253	1,20E-01	0,8957994	2,03E-01	-0,49448572	-0,52051129	-2,2443177	2,69E+00	c1	b1	f13 
B2.b2.f13.g1.r1.u3.y1	6,1842141	4,32E+02	0,6629622	1,39E-03	-0,8730631	-0,91901379	-2,9821554	1,15E+02	c0	b2	f13
B2.b2.c1.f13.g1.r1.u3.y1	6,1467251	2,56E+03	0,6652672	2,30E-04	-0,86840919	-0,91411493	-2,9741965	6,48E+02	c1	b2	f13
B4.b5.f13.g1.r1.u3.y1	5,3916884	6,15E+00	0,7591308	6,16E-02	-0,7863434	-0,82772989	-2,8301768	4,12E+00	c0	b5	f13
B4.b5.c1.f13.g1.r1.u3.y1	5,1326069	5,61E+00	0,876809	7,32E-02	-0,81641115	-0,85938016	-2,8837786	5,75E+00	c1	b5	f13
B6.b7.f13.g1.r1.u3.y1	0,5114243	1,88E-01	0,7459025	1,37E-01	-0,20117895	-0,21176732	-1,4315243	1,61E+00	c0	b7	f13
B6.b7.c1.f13.g1.r1.u3.y1	1,4065814	9,45E-01	0,777075	7,10E-02	-0,26608674	-0,2800913	-1,6463382	3,31E+00	c1	b7	f13
f14.g1.r1.u3.y1	6,2820589	4,49E+04	0,7037611	3,04E-05	-0,97247299	-1,02365578	-3,1473586	5,06E+03	c0	b0	f14
c1.f14.g1.r1.u3.y1	6,5046658	8,27E+01	0,7238749	2,32E-02	-0,9862277	-1,03813442	-3,1695386	1,94E+01	c1	b0	f14
B1.b1.f14.g1.r1.u3.y1	2,7556768	7,97E-01	0,8985631	3,78E-01	-0,45670905	-0,48074636	-2,1568863	4,37E+00	c0	b1	f14
B1.b1.c1.f14.g1.r1.u3.y1	3,2693806	2,57E-01	0,8976217	1,90E-01	-0,51873988	-0,54604198	-2,2986998	2,61E+00	c1	b1	f14
B2.b2.f14.g1.r1.u3.y1	6,6148624	6,41E+01	0,793541	2,81E-02	-0,98355278	-1,03531871	-3,1652373	1,18E+01	c0	b2	f14
B2.b2.c1.f14.g1.r1.u3.y1	6,2454795	2,90E+01	0,6715101	2,37E-02	-0,90627999	-0,95397894	-3,0383559	1,15E+01	c1	b2	f14
B4.b5.f14.g1.r1.u3.y1	6,3710159	1,09E+03	0,7014946	3,63E-03	-0,99662129	-1,04907504	-3,1861963	5,33E+01	c0	b5	f14
B4.b5.c1.f14.g1.r1.u3.y1	6,3415846	3,12E+03	0,7096979	8,94E-04	-0,99326993	-1,0455473	-3,1808346	1,89E+02	c1	b5	f14
B6.b7.f14.g1.r1.u3.y1	0,6477096	1,55E-02	0,6306263	1,00E-01	-0,15624823	-0,16447182	-1,2615806	1,06E+00	c0	b7	f14
B6.b7.c1.f14.g1.r1.u3.y1	1,6050535	1,31E+00	0,8696189	6,98E-02	-0,33046798	-0,34786103	-1,8347299	4,67E+00	c1	b7	f14
f2.g1.r1.u3.y1	1,9631808	1,82E-01	0,8926166	1,50E-01	-0,3733102	-0,39295811	-1,9500349	1,72E+00	c0	b0	f2
c1.f2.g1.r1.u3.y1	2,6412398	1,22E+00	0,9187257	9,49E-02	-0,45644623	-0,48046972	-2,1562656	2,28E+00	c1	b0	f2
B1.b1.f2.g1.r1.u3.y1	3,3903709	8,56E-01	0,9989523	5,20E-01	-0,59834791	-0,6298399	-2,4687911	4,78E+00	c0	b1	f2
B1.b1.c1.f2.g1.r1.u3.y1	3,0745685	1,33E-01	0,9169165	2,05E-01	-0,50636554	-0,53301636	-2,2711171	2,68E+00	c1	b1	f2
B2.b2.f2.g1.r1.u3.y1	3,0755402	3,68E-01	0,6800925	1,20E-01	-0,33940063	-0,35726382	-1,8593612	2,09E+00	c0	b2	f2
B2.b2.c1.f2.g1.r1.u3.y1	3,2107758	1,61E+00	0,7073103	6,79E-02	-0,37406556	-0,39375322	-1,9520067	3,17E+00	c1	b2	f2
B4.b5.f2.g1.r1.u3.y1	0,3317193	1,18E-01	0,7968335	1,07E-01	-0,21521285	-0,22653985	-1,480613	1,05E+00	c0	b5	f2
B4.b5.c1.f2.g1.r1.u3.y1	1,3585219	1,40E+00	0,8544764	6,32E-02	-0,30388369	-0,31987757	-1,759386	5,69E+00	c1	b5	f2
B6.b7.f2.g1.r1.u3.y1	1,687092	4,87E-02	1,1124444	2,04E-01	-0,46460817	-0,48906123	-2,1754588	1,82E+00	c0	b7	f2
B6.b7.c1.f2.g1.r1.u3.y1	1,5950714	1,32E+00	0,8452347	6,73E-02	-0,31633103	-0,33298003	-1,7950574	4,73E+00	c1	b7	f2
f3.g1.r1.u3.y1	1,9617164	6,00E-02	0,8548281	1,79E-01	-0,35137883	-0,36987245	-1,8918872	2,43E+00	c0	b0	f3
c1.f3.g1.r1.u3.y1	2,8306855	7,83E-01	0,7870931	1,03E-01	-0,39128128	-0,41187504	-1,9964203	1,74E+00	c1	b0	f3
B1.b1.f3.g1.r1.u3.y1	2,3774307	1,38E+00	0,8847839	4,53E-01	-0,40784867	-0,42931439	-2,0382478	4,71E+00	c0	b1	f3
B1.b1.c1.f3.g1.r1.u3.y1	3,1152532	1,12E-02	0,8988724	2,32E-01	-0,49978797	-0,5260926	-2,2563182	3,15E+00	c1	b1	f3
B2.b2.f3.g1.r1.u3.y1	1,1784144	2,70E-01	0,5164129	1,10E-01	-0,12562364	-0,13223541	-1,1312097	2,36E+00	c0	b2	f3
B2.b2.c1.f3.g1.r1.u3.y1	2,2254471	7,96E-01	0,7240457	8,25E-02	-0,29428445	-0,30977311	-1,7313749	1,54E+00	c1	b2	f3
B4.b5.f3.g1.r1.u3.y1	0,2277887	1,27E-01	0,6118692	1,02E-01	-0,13389569	-0,14094283	-1,1678599	1,14E+00	c0	b5	f3
B4.b5.c1.f3.g1.r1.u3.y1	1,5433311	1,04E+00	0,7956036	7,11E-02	-0,28534199	-0,30035999	-1,7048662	3,50E+00	c1	b5	f3
B6.b7.f3.g1.r1.u3.y1	0,3738784	1,87E-01	0,6218524	1,11E-01	-0,1426709	-0,15017989	-1,205522	1,49E+00	c0	b7	f3
B6.b7.c1.f3.g1.r1.u3.y1	1,707902	9,74E-01	0,8004802	7,61E-02	-0,29992447	-0,31570997	-1,7478872	2,92E+00	c1	b7	f3
f6.g1.r1.u3.y1	1,891268	4,48E-02	0,8634847	1,61E-01	-0,35036001	-0,36880001	-1,8891425	2,04E+00	c0	b0	f6
c1.f6.g1.r1.u3.y1	2,5394834	9,44E-01	0,8989423	1,03E-01	-0,43324101	-0,45604317	-2,1007396	1,81E+00	c1	b0	f6
B1.b1.f6.g1.r1.u3.y1	2,4241595	1,20E+00	0,9065198	4,34E-01	-0,42578422	-0,44819392	-2,0825826	4,59E+00	c0	b1	f6
B1.b1.c1.f6.g1.r1.u3.y1	3,0510736	4,11E-02	0,9144429	2,21E-01	-0,50185431	-0,5282677	-2,2609777	2,91E+00	c1	b1	f6
B2.b2.f6.g1.r1.u3.y1	0,788017	2,09E-01	0,5665999	1,09E-01	-0,13401432	-0,14106771	-1,1683771	1,91E+00	c0	b2	f6
B2.b2.c1.f6.g1.r1.u3.y1	2,0633656	9,05E-01	0,7425903	7,75E-02	-0,29305057	-0,30847429	-1,7277414	2,07E+00	c1	b2	f6
B4.b5.f6.g1.r1.u3.y1	0,0956617	2,19E-02	0,6947558	1,03E-01	-0,16211717	-0,17064965	-1,2850557	9,13E-01	c0	b5	f6
B4.b5.c1.f6.g1.r1.u3.y1	1,3500496	1,19E+00	0,8287282	6,70E-02	-0,28969966	-0,30494701	-1,717835	4,63E+00	c1	b5	f6
B6.b7.f6.g1.r1.u3.y1	0,3342933	7,41E-02	0,6932724	1,12E-01	-0,17068032	-0,17966349	-1,3185578	1,06E+00	c0	b7	f6
B6.b7.c1.f6.g1.r1.u3.y1	1,5819984	1,13E+00	0,8327482	7,20E-02	-0,30849313	-0,32472961	-1,7726794	3,84E+00	c1	b7	f6
f7.g1.r1.u3.y1	1,8298704	2,77E-01	0,7923382	1,94E-01	-0,30448157	-0,32050692	-1,761116	2,82E+00	c0	b0	f7
c1.f7.g1.r1.u3.y1	2,4624796	4,63E-01	0,8442768	1,26E-01	-0,39124743	-0,4118394	-1,996334	1,70E+00	c1	b0	f7
B1.b1.f7.g1.r1.u3.y1	2,3014264	1,67E+00	0,8728591	4,94E-01	-0,39311323	-0,4138034	-2,0010884	4,86E+00	c0	b1	f7
B1.b1.c1.f7.g1.r1.u3.y1	3,0885235	1,29E-01	0,8936224	2,55E-01	-0,4930085	-0,51895631	-2,2409628	3,47E+00	c1	b1	f7
B2.b2.f7.g1.r1.u3.y1	0,8471857	4,79E-01	0,4819242	1,14E-01	-0,10151833	-0,1068614	-1,0169033	2,64E+00	c0	b2	f7
B2.b2.c1.f7.g1.r1.u3.y1	2,253047	6,15E-01	0,7193227	9,15E-02	-0,2935079	-0,30895568	-1,729089	1,31E+00	c1	b2	f7
B4.b5.f7.g1.r1.u3.y1	0,1037827	2,83E-01	0,5596504	1,04E-01	-0,11077489	-0,11660515	-1,0622534	1,58E+00	c0	b5	f7
B4.b5.c1.f7.g1.r1.u3.y1	1,5336904	8,22E-01	0,7813704	7,79E-02	-0,27689929	-0,29147294	-1,679455	2,53E+00	c1	b5	f7
B6.b7.f7.g1.r1.u3.y1	0,3279144	3,46E-01	0,5681744	1,14E-01	-0,12015466	-0,12647859	-1,1063123	1,95E+00	c0	b7	f7
B6.b7.c1.f7.g1.r1.u3.y1	1,7205896	7,66E-01	0,784544	8,34E-02	-0,29187258	-0,3072343	-1,7242653	2,02E+00	c1	b7	f7
f8.g1.r1.u3.y1	2,2280102	3,78E-01	0,6626193	1,86E-01	-0,25622778	-0,26971345	-1,6155506	3,37E+00	c0	b0	f8
c1.f8.g1.r1.u3.y1	2,5647001	2,78E-01	0,7239897	1,24E-01	-0,32260727	-0,3395866	-1,8127776	2,14E+00	c1	b0	f8
B1.b1.f8.g1.r1.u3.y1	2,3035609	2,19E+00	0,8497638	5,72E-01	-0,37923264	-0,39919225	-1,9654423	5,11E+00	c0	b1	f8
B1.b1.c1.f8.g1.r1.u3.y1	3,163531	3,15E-01	0,8802008	2,98E-01	-0,49349929	-0,51947294	-2,242078	3,94E+00	c1	b1	f8
B2.b2.f8.g1.r1.u3.y1	1,3843973	5,19E-01	0,4156908	1,09E-01	-0,08926705	-0,09396531	-0,953571	3,10E+00	c0	b2	f8
B2.b2.c1.f8.g1.r1.u3.y1	2,508863	5,28E-01	0,6393136	8,94E-02	-0,26174571	-0,2755218	-1,6328535	1,48E+00	c1	b2	f8
B4.b5.f8.g1.r1.u3.y1	0,9052462	2,90E-01	0,4557521	9,48E-02	-0,09299165	-0,09788595	-0,9732612	2,14E+00	c0	b5	f8
B4.b5.c1.f8.g1.r1.u3.y1	1,9406181	7,42E-01	0,6635926	7,35E-02	-0,23747075	-0,24996921	-1,5552941	1,76E+00	c1	b5	f8
B6.b7.f8.g1.r1.u3.y1	1,0554229	3,35E-01	0,4371397	9,61E-02	-0,08958439	-0,09429936	-0,9552644	2,40E+00	c0	b7	f8
B6.b7.c1.f8.g1.r1.u3.y1	2,0398464	6,90E-01	0,6537004	7,59E-02	-0,2380591	-0,25058853	-1,5572195	1,56E+00	c1	b7	f8
f9.g1.r1.u3.y1	2,5127104	1,72E-01	0,7747231	1,44E-01	-0,35141763	-0,36991329	-1,8919917	2,29E+00	c0	b0	f9
c1.f9.g1.r1.u3.y1	2,8223652	9,33E-01	0,8072001	9,77E-02	-0,40413983	-0,42541034	-2,028959	1,82E+00	c1	b0	f9
B1.b1.f9.g1.r1.u3.y1	2,5315504	1,21E+00	0,8803529	4,32E-01	-0,42089304	-0,44304531	-2,0705862	4,65E+00	c0	b1	f9
B1.b1.c1.f9.g1.r1.u3.y1	3,2305931	6,09E-02	0,8905894	2,20E-01	-0,50901065	-0,53580069	-2,2770412	3,07E+00	c1	b1	f9
B2.b2.f9.g1.r1.u3.y1	1,9615523	1,98E-02	0,8259469	1,66E-01	-0,33451702	-0,35212318	-1,8459357	2,37E+00	c0	b2	f9
B2.b2.c1.f9.g1.r1.u3.y1	2,5327731	1,18E+00	0,8782791	8,93E-02	-0,41972826	-0,44181922	-2,0677192	2,40E+00	c1	b2	f9
B4.b5.f9.g1.r1.u3.y1	0,3459323	6,93E-02	0,6013639	9,63E-02	-0,13356704	-0,14059689	-1,1664258	9,95E-01	c0	b5	f9
B4.b5.c1.f9.g1.r1.u3.y1	1,617649	1,14E+00	0,7668496	6,58E-02	-0,27467495	-0,28913152	-1,6726958	3,85E+00	c1	b5	f9
B6.b7.f9.g1.r1.u3.y1	0,6076637	1,02E-01	0,5628342	9,62E-02	-0,12655877	-0,13321975	-1,1354122	1,34E+00	c0	b7	f9
B6.b7.c1.f9.g1.r1.u3.y1	1,7879129	1,09E+00	0,7430627	6,74E-02	-0,27311095	-0,28748522	-1,6679269	3,27E+00	c1	b7	f9

