	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	c	b	f
g1.r1.u3.y1	2,2856973	1,67E-01	0,8761624	1,58E-01	-0,39358888	-0,41430408	-2,0022987	2,12E+00	c0	b0	f0
c1.g1.r1.u3.y1	2,5027526	8,68E-01	0,7921632	9,25E-02	-0,36183565	-0,38087963	-1,9198316	1,73E+00	c1	b0	f0
B1.b1.g1.r1.u3.y1	2,5077891	1,06E+00	0,8991782	4,11E-01	-0,43003452	-0,45266791	-2,0929512	4,51E+00	c0	b1	f0
B1.b1.c1.g1.r1.u3.y1	3,1364633	1,15E-01	0,9046243	2,08E-01	-0,50621846	-0,53286153	-2,2707872	2,81E+00	c1 	 b1	f0
B2.b2.g1.r1.u3.y1	0,9841256	1,12E-01	0,5868865	1,07E-01	-0,14991744	-0,15780783	-1,2357583	1,71E+00	c0	b2	f0
B2.b2.c1.g1.r1.u3.y1	4,0550194	3,04E+00	1,0528226	9,21E-02	-0,72435436	-0,76247827	-2,7163328	3,43E+00	c1	b2	f0
B4.b5.g1.r1.u3.y1	0,7740688	1,45E-01	0,8403541	1,18E-01	-0,25883231	-0,27245506	-1,6237408	1,01E+00	c0	b5	f0
B4.b5.c1.g1.r1.u3.y1	1,3880356	1,28E+00	0,7974183	6,20E-02	-0,27569064	-0,29020067	-1,6757856	5,03E+00	c1	b5	f0
B6.b7.g1.r1.u3.y1	0,4879982	2,24E-02	0,6701003	1,05E-01	-0,16696793	-0,17575571	-1,3041393	9,87E-01	c0	b7	f0
B6.b7.c1.g1.r1.u3.y1	1,6684027	1,23E+00	0,8039692	6,73E-02	-0,29895737	-0,31469197	-1,7450669	4,12E+00	c1	b7	f0
f10.g1.r1.u3.y1	2,408899	5,56E-01	0,9057715	1,26E-01	-0,42376071	-0,4460639	-2,077628	1,73E+00	c0	b0	f10
c1.f10.g1.r1.u3.y1	2,950836	1,74E+00	0,8433961	7,47E-02	-0,44299441	-0,46630991	-2,1242546	3,28E+00	c1	b0	f10
B1.b1.f10.g1.r1.u3.y1	2,737859	5,88E-01	0,9109618	3,38E-01	-0,46247213	-0,48681277	-2,1704522	4,09E+00	c0	b1	f10
B1.b1.c1.f10.g1.r1.u3.y1	3,1485549	3,66E-01	0,9048439	1,71E-01	-0,50789547	-0,53462681	-2,2745454	2,38E+00	c1	b1	f10
B2.b2.f10.g1.r1.u3.y1	3,2999889	1,28E+00	1,187249	1,47E-01	-0,68158581	-0,71745874	-2,6349217	1,91E+00	c0	b2	f10
B2.b2.c1.f10.g1.r1.u3.y1	3,0021131	1,83E+00	0,7277684	6,19E-02	-0,36721353	-0,38654055	-1,9340459	4,29E+00	c1	b2	f10
B4.b5.f10.g1.r1.u3.y1	3,6815283	1,45E+00	0,8289832	9,89E-02	-0,52696975	-0,554705	-2,3168627	2,07E+00	c0	b5	f10
B4.b5.c1.f10.g1.r1.u3.y1	1,4577058	1,84E+00	0,8457646	5,37E-02	-0,30640276	-0,32252922	-1,7666633	7,62E+00	c1	b5	f10
B6.b7.f10.g1.r1.u3.y1	0,8732111	2,99E-01	0,8006092	1,01E-01	-0,24544097	-0,25835891	-1,5811788	1,28E+00	c0	b7	f10
B6.b7.c1.f10.g1.r1.u3.y1	1,6593864	1,73E+00	0,8281192	5,65E-02	-0,31175174	-0,32815973	-1,7820172	6,55E+00	c1	b7	f10
f11.g1.r1.u3.y1	6,4014548	2,59E+05	0,7055716	6,45E-05	-0,9998107	-1,05243232	-3,1912905	3,01E+03	c0	b0	f11
c1.f11.g1.r1.u3.y1	6,4004159	2,51E+06	0,7185047	1,22E-05	-0,999944	-1,05257263	-3,1915032	1,46E+04	c1	b0	f11
B1.b1.f11.g1.r1.u3.y1	3,1100834	2,56E-01	0,8642846	1,74E-01	-0,47611833	-0,50117719	-2,2022413	2,73E+00	c0	b1	f11
B1.b1.c1.f11.g1.r1.u3.y1	3,2208043	3,75E-01	0,8924958	1,70E-01	-0,5090159	-0,53580621	-2,2770529	2,43E+00	c1	b1	f11
B2.b2.f11.g1.r1.u3.y1	6,4102614	2,23E+02	0,6751421	4,03E-03	-0,9393029	-0,9887399	-3,0932162	6,45E+01	c0	b2	f11
B2.b2.c1.f11.g1.r1.u3.y1	5,8389164	2,28E+01	0,9486703	4,98E-02	-0,96377669	-1,01450178	-3,1332544	8,07E+00	c1	b2	f11
B4.b5.f11.g1.r1.u3.y1	6,3329613	7,99E+08	0,7109605	3,17E-09	-0,99184457	-1,04404691	-3,1785515	4,93E+07	c0	b5	f11
B4.b5.c1.f11.g1.r1.u3.y1	6,3553617	5,44E+05	0,7027138	5,13E-06	-0,9932785	-1,04555632	-3,1808484	3,68E+04	c1	b5	f11
B6.b7.f11.g1.r1.u3.y1	6,4527939	5,09E+04	0,7119045	5,36E-05	-0,9929767	-1,04523863	-3,1803651	2,95E+03	c0	b7	f11
B6.b7.c1.f11.g1.r1.u3.y1	5,4923567	1,63E+01	1,0034766	4,77E-02	-0,92851633	-0,97738561	-3,0754043	9,70E+00	c1	b7	f11
f12.g1.r1.u3.y1	6,3437602	1,27E+02	0,7628049	4,78E-02	-0,99860367	-1,05116176	-3,1893635	9,29E+00	c0	b0	f12
c1.f12.g1.r1.u3.y1	6,4841993	6,75E+01	0,6881167	1,58E-02	-0,95687272	-1,00723444	-3,1220118	2,51E+01	c1	b0	f12
B1.b1.f12.g1.r1.u3.y1	2,7370129	9,56E-01	0,8752216	3,98E-01	-0,43976089	-0,4629062	-2,1164877	4,52E+00	c0	b1	f12
B1.b1.c1.f12.g1.r1.u3.y1	3,169699	1,15E-01	0,8741929	2,02E-01	-0,49023714	-0,51603909	-2,2346554	2,80E+00	c1	b1	f12
B2.b2.f12.g1.r1.u3.y1	6,5704191	9,81E+01	0,708178	1,13E-02	-0,95781485	-1,00822616	-3,1235483	1,65E+01	  c0	b2	f12
B2.b2.c1.f12.g1.r1.u3.y1	5,5761772	6,91E+00	0,6189075	3,98E-02	-0,65293859	-0,68730378	-2,5789541	5,51E+00	c1	b2	f12
B4.b5.f12.g1.r1.u3.y1	6,42993	3,30E+02	0,7570699	2,57E-02	-0,99926004	-1,05185267	-3,1904115	8,19E+00	c0	b5	f12
B4.b5.c1.f12.g1.r1.u3.y1	4,9555244	6,90E+00	0,8452351	5,17E-02	-0,76025009	-0,80026326	-2,7828237	8,47E+00	c1	b5	f12
B6.b7.f12.g1.r1.u3.y1	0,6496476	6,64E-02	0,6055211	1,01E-01	-0,14560238	-0,15326566	-1,2178441	1,21E+00	c0	b7	f12
B6.b7.c1.f12.g1.r1.u3.y1	1,6246566	1,08E+00	0,7336071	6,49E-02	-0,25673738	-0,27024987	-1,6171563	3,55E+00	c1	b7	f12 
