	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	R	y	b	f
g1.p1.u3	2,0710538	1,06E-01	0,8566594	0,1562898	-0,36200977	-0,38106291	-1,9202934	2,0517438	R0	y0	b0	f0
B1.b1.g1.p1.u3	2,50757327	1,06E+00	0,8991393	0,4104901	-0,42998796	-0,4526189	-2,0928379	4,5078344	R0	y0	b1	f0
B2.b2.g1.p1.u3	0,95904688	9,49E-02	0,7962373	0,1443523	-0,24826756	-0,26133428	-1,5902574	1,8727672	R0	y0	b2	f0
B3.b3.g1.p1.u3	0,88635441	1,10E-02	0,6952888	0,1144036	-0,19568099	-0,20597999	-1,4118279	1,2343494	R0	y0	b3	f0
B7.b4.g1.p1.u3	0,95708653	3,48E-02	0,7348096	1,25E-01	-0,21812753	-0,22960793	-1,4906054	1,40E+00	R0	y0	b4	f0
B4.b5.g1.p1.u3	0,5478332	1,06E-01	0,7684492	1,08E-01	-0,2130706	-0,22428484	-1,4732254	1,04E+00	R0	y0	b5	f0
B5.b6.g1.p1.u3	0,86973765	1,76E-02	0,7130973	1,18E-01	-0,2032789	-0,21397779	-1,4389762	1,27E+00	R0	y0	b6	f0
B6.b7.g1.p1.u3	0,48377106	2,32E-02	0,6702016	1,05E-01	-0,16684312	-0,17562434	-1,3036518	9,86E-01	R0	y0	b7	f0
f2.g1.p1.u3	1,86335062	1,41E-01	0,8079947	1,78E-01	-0,31611463	-0,33275225	-1,7944433	2,51E+00	R0	y0	b0	f2
B1.b1.f2.g1.p1.u3	2,38982507	1,42E+00	0,8888496	4,65E-01	-0,41156823	-0,43322972	-2,047521	4,74E+00	R0	y0	b1	f2
B2.b2.f2.g1.p1.u3	0,83049186	3,49E-01	0,5045918	1,09E-01	-0,10994549	-0,1157321	-1,0582692	2,32E+00	R0	y0	b2	f2
B3.b3.f2.g1.p1.u3	0,7857316	2,07E-01	0,6075909	1,17E-01	-0,15151377	-0,15948818	-1,2423201	1,86E+00	R0	y0	b3	f2
B7.b4.f2.g1.p1.u3	0,78536785	2,38E-01	0,6607527	1,31E-01	-0,17514908	-0,18436745	-1,3357075	1,95E+00	R0	y0	b4	f2
B4.b5.f2.g1.p1.u3	0,11725299	1,62E-01	0,595566	1,00E-01	-0,12430529	-0,13084767	-1,1252584	1,17E+00	R0	y0	b5	f2
B5.b6.f2.g1.p1.u3	0,70384637	2,19E-01	0,6336743	1,22E-01	-0,15974797	-0,16815576	-1,2756312	1,84E+00	R0	y0	b6	f2
B6.b7.f2.g1.p1.u3	0,34436149	2,16E-01	0,5981388	1,09E-01	-0,13224709	-0,13920747	-1,160648	1,56E+00	R0	y0	b7	f2
f3.g1.p1.u3	1,82794678	4,21E-01	0,7576985	2,06E-01	-0,28437329	-0,29934031	-1,7019698	3,18E+00	R0	y0	b0	f3
B1.b1.f3.g1.p1.u3	2,30227338	1,82E+00	0,8635504	5,14E-01	-0,38753738	-0,40793409	-1,9868462	4,94E+00	R0	y0	b1	f3
B2.b2.f3.g1.p1.u3	0,91865863	5,67E-01	0,4518862	1,14E-01	-0,09186081	-0,09669559	-0,9673254	2,90E+00	R0	y0	b2	f3
B3.b3.f3.g1.p1.u3	0,79634643	4,39E-01	0,5169004	1,18E-01	-0,11386368	-0,1198565	-1,0769612	2,50E+00	R0	y0	b3	f3
B7.b4.f3.g1.p1.u3	0,75249986	4,84E-01	0,5699099	1,34E-01	-0,13420102	-0,14126423	-1,1691907	2,59E+00	R0	y0	b4	f3
B4.b5.f3.g1.p1.u3	0,19061948	3,71E-01	0,5093959	1,02E-01	-0,09525392	-0,10026728	-0,9850287	1,90E+00	R0	y0	b5	f3
B5.b6.f3.g1.p1.u3	0,71695456	4,48E-01	0,5531768	1,26E-01	-0,12610736	-0,13274458	-1,1333855	2,47E+00	R0	y0	b6	f3
B6.b7.f3.g1.p1.u3	0,39840063	4,34E-01	0,5160254	1,11E-01	-0,10265638	-0,10805935	-1,0225874	2,22E+00	R0	y0	b7	f3
f6.g1.p1.u3	1,88506887	1,30E-02	0,8612113	1,66E-01	-0,34853292	-0,36687676	-1,8842102	2,13E+00	R0	y0	b0	f6
B1.b1.f6.g1.p1.u3	2,40726533	1,22E+00	0,9037307	4,36E-01	-0,42236128	-0,44459082	-2,0741946	4,60E+00	R0	y0	b1	f6
B2.b2.f6.g1.p1.u3	0,7826732	2,30E-01	0,5589065	1,09E-01	-0,13060972	-0,13748392	-1,1534405	1,97E+00	R0	y0	b2	f6
B3.b3.f6.g1.p1.u3	0,81177656	7,64E-02	0,6890669	1,19E-01	-0,18928112	-0,19924328	-1,3885486	1,42E+00	R0	y0	b3	f6
B7.b4.f6.g1.p1.u3	0,83749475	1,00E-01	0,7404511	1,32E-01	-0,21462045	-0,22591627	-1,4785738	1,52E+00	R0	y0	b4	f6
B4.b5.f6.g1.p1.u3	0,07716588	4,42E-02	0,6840983	1,03E-01	-0,15718265	-0,16545542	-1,2653473	9,14E-01	R0	y0	b5	f6
B5.b6.f6.g1.p1.u3	0,71068569	9,00E-02	0,7047873	1,22E-01	-0,191851	-0,20194842	-1,397943	1,40E+00	R0	y0	b6	f6
B6.b7.f6.g1.p1.u3	0,31722389	9,74E-02	0,6836604	1,12E-01	-0,16598335	-0,17471932	-1,3002885	1,12E+00	R0	y0	b7	f6
f7.g1.p1.u3	1,82260147	3,15E-01	0,7908802	1,99E-01	-0,3030882	-0,31904021	-1,7570817	2,92E+00	R0	y0	b0	f7
B1.b1.f7.g1.p1.u3	2,28890065	1,70E+00	0,8701153	4,96E-01	-0,39023954	-0,41077847	-1,9937609	4,87E+00	R0	y0	b1	f7
B2.b2.f7.g1.p1.u3	0,85098964	5,02E-01	0,4775683	1,15E-01	-0,09993754	-0,10519741	-1,0089549	2,70E+00	R0	y0	b2	f7
B3.b3.f7.g1.p1.u3	0,7577549	3,65E-01	0,5612636	1,21E-01	-0,13076691	-0,13764938	-1,1541344	2,29E+00	R0	y0	b3	f7
B7.b4.f7.g1.p1.u3	0,73334065	4,04E-01	0,6158205	1,37E-01	-0,15310905	-0,16116742	-1,2488431	2,37E+00	R0	y0	b4	f7
B4.b5.f7.g1.p1.u3	0,09832319	3,06E-01	0,5526187	1,04E-01	-0,10812026	-0,1138108	-1,0494482	1,65E+00	R0	y0	b5	f7
B5.b6.f7.g1.p1.u3	0,66930045	3,74E-01	0,5886506	1,27E-01	-0,1391999	-0,14652621	-1,1907673	2,26E+00	R0	y0	b6	f7
B6.b7.f7.g1.p1.u3	0,32225561	3,70E-01	0,5615514	1,15E-01	-0,1174822	-0,12366548	-1,09394	2,01E+00	R0	y0	b7	f7
R2.g1.p1.u3.y1	2,0461152	1,02E-01	0,8575638	1,56E-01	-0,36033099	-0,37929578	-1,9158357	2,04E+00	R2	y1	b0	f0
B1.R2.b1.g1.p1.u3.y1	2,50758083	1,06E+00	0,8991416	4,10E-01	-0,42999018	-0,45262125	-2,0928433	4,51E+00	R2	y1	b1	f0
B2.R2.b2.g1.p1.u3.y1	1,15557684	1,05E-01	0,5898129	1,10E-01	-0,1580625	-0,16638158	-1,2688839	1,85E+00	R2	y1	b2	f0
B3.R2.b3.g1.p1.u3.y1	0,88635441	1,10E-02	0,6952888	1,14E-01	-0,19568099	-0,20597999	-1,4118279	1,23E+00	R2	y1	b3	f0
B7.R2.b4.g1.p1.u3.y1	0,95708653	3,48E-02	0,7348096	1,25E-01	-0,21812753	-0,22960792	-1,4906054	1,40E+00	R2	y1	b4	f0
B4.R2.b5.g1.p1.u3.y1	0,35474723	5,86E-02	0,7778706	1,11E-01	-0,2079835	-0,21893	-1,4555324	1,02E+00	R2	y1	b5	f0
B5.R2.b6.g1.p1.u3.y1	0,86973764	1,76E-02	0,7130973	1,18E-01	-0,2032789	-0,21397779	-1,4389762	1,27E+00	R2	y1	b6	f0
B6.R2.b7.g1.p1.u3.y1	0,48273826	2,33E-02	0,6702913	1,05E-01	-0,16684042	-0,1756215	-1,3036412	9,86E-01	R2	y1	b7	f0
R2.f2.g1.p1.u3.y1	1,86334473	1,41E-01	0,8079868	1,78E-01	-0,31610955	-0,3327469	-1,7944289	2,51E+00	R2	y1	b0	f2
B1.R2.b1.f2.g1.p1.u3.y1	2,38982605	1,42E+00	0,8888501	4,65E-01	-0,41156867	-0,43323018	-2,0475221	4,74E+00	R2	y1	b1	f2
