	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	R	y	b	f
B2.R2.b2.f2.g1.p1.u3.y1	0,83051074	3,49E-01	0,5045702	1,09E-01	-0,10993743	-0,11572361	-1,0582304	2,32E+00	R2	y1	b2	f2
B3.R2.b3.f2.g1.p1.u3.y1	0,78574183	2,07E-01	0,6075702	1,17E-01	-0,1515051	-0,15947905	-1,2422845	1,86E+00	R2	y1	b3	f2
B7.R2.b4.f2.g1.p1.u3.y1	0,78537203	2,38E-01	0,6607416	1,31E-01	-0,17514421	-0,18436232	-1,335689	1,95E+00	R2	y1	b4	f2
B4.R2.b5.f2.g1.p1.u3.y1	0,11726246	1,62E-01	0,5955513	1,00E-01	-0,12430004	-0,13084215	-1,1252346	1,17E+00	R2	y1	b5	f2
B5.R2.b6.f2.g1.p1.u3.y1	0,70386215	2,19E-01	0,6336614	1,22E-01	-0,15974293	-0,16815045	-1,275611	1,84E+00	R2	y1	b6	f2
B6.R2.b7.f2.g1.p1.u3.y1	0,34437008	2,16E-01	0,5981264	1,09E-01	-0,13224247	-0,1392026	-1,1606277	1,56E+00	R2	y1	b7	f2 
R2.f3.g1.p1.u3.y1	1,82797424	4,21E-01	0,7576944	2,06E-01	-0,2843729	-0,29933989	-1,7019686	3,18E+00	R2	y1	b0	f3
B1.R2.b1.f3.g1.p1.u3.y1	2,30223038	1,82E+00	0,8635511	5,14E-01	-0,38753365	-0,40793015	-1,9868366	4,94E+00	R2	y1	b1	f3
B2.R2.b2.f3.g1.p1.u3.y1	0,91870312	5,67E-01	0,4518729	1,14E-01	-0,0918569	-0,09669147	-0,9673048	2,90E+00	R2	y1	b2	f3
B3.R2.b3.f3.g1.p1.u3.y1	0,79637332	4,39E-01	0,5168834	1,18E-01	-0,11385766	-0,11985017	-1,0769327	2,50E+00	  R2	y1	b3	f3
B7.R2.b4.f3.g1.p1.u3.y1	0,75251415	4,84E-01	0,5699	1,34E-01	-0,13419737	-0,14126039	-1,1691748	2,59E+00	R2	y1	b4	f3
B4.R2.b5.f3.g1.p1.u3.y1	0,19063896	3,71E-01	0,5093816	1,02E-01	-0,09524946	-0,10026259	-0,9850056	1,90E+00	R2	y1	b5	f3
B5.R2.b6.f3.g1.p1.u3.y1	0,71697663	4,48E-01	0,5531663	1,26E-01	-0,12610379	-0,13274083	-1,1333695	2,47E+00	R2	y1	b6	f3
B6.R2.b7.f3.g1.p1.u3.y1	0,39841709	4,34E-01	0,5160177	1,11E-01	-0,102654	-0,10805684	-1,0225755	2,22E+00	R2	y1	b7	f3
R2.f6.g1.p1.u3.y1	1,88505971	1,30E-02	0,8612027	0,1656459	-0,34852727	-0,36687081	-1,8841949	2,13E+00	R2	y1	 b0	f6
B1.R2.b1.f6.g1.p1.u3.y1	2,40726795	1,22E+00	0,9037319	0,4361171	-0,42236231	-0,44459191	-2,0741971	4,60E+00	R2	y1	b1	f6
B2.R2.b2.f6.g1.p1.u3.y1	0,78268545	2,30E-01	0,5588823	0,1093986	-0,13060003	-0,13747372	-1,1533977	1,97E+00	R2 	y1	b2	f6
B3.R2.b3.f6.g1.p1.u3.y1	0,81177656	7,64E-02	0,6890669	0,1193175	-0,18928111	-0,19924328	-1,3885486	1,42E+00	R2	y1	b3	f6
B7.R2.b4.f6.g1.p1.u3.y1	0,83749479	1,00E-01	0,7404511	0,1319361	-0,21462047	-0,22591628	-1,4785738	1,52E+00	R2	y1	b4	f6
B4.R2.b5.f6.g1.p1.u3.y1	0,07717006	4,42E-02	0,6840824	0,1034528	-0,15717647	-0,16544892	-1,2653225	9,14E-01	R2	y1	b5	f6
B5.R2.b6.f6.g1.p1.u3.y1	0,71068497	9,00E-02	0,7047869	0,1218333	-0,19185079	-0,2019482	-1,3979423	1,40E+00	R2	y1	b6	f6
B6.R2.b7.f6.g1.p1.u3.y1	0,31722683	9,74E-02	0,683646	0,1123085	-0,16597746	-0,17471311	-1,3002654	1,12E+00	R2	y1	b7	f6
R2.f7.g1.p1.u3.y1	1,82259471	3,15E-01	0,7908717	0,1989894	-0,3030828	-0,31903452	-1,7570661	2,92E+00	R2	y1	b0	f7
B1.R2.b1.f7.g1.p1.u3.y1	2,28889943	1,70E+00	0,8701148	0,4956632	-0,39023915	-0,41077806	-1,9937599	4,87E+00	R2	y1	b1	f7
B2.R2.b2.f7.g1.p1.u3.y1	0,85101273	5,02E-01	0,4775482	0,1148314	-0,09993041	-0,10518991	-1,008919	2,70E+00	R2	y1	b2	f7
B3.R2.b3.f7.g1.p1.u3.y1	0,6755077	3,98E-01	0,6101395	0,1339428	-0,14850395	-0,15631995	-1,2299188	2,33E+00	R2	y1	b3	f7
B7.R2.b4.f7.g1.p1.u3.y1	0,73334064	4,04E-01	0,6158205	0,1369335	-0,15310905	-0,16116743	-1,2488431	2,37E+00	R2	y1	b4	f7
B4.R2.b5.f7.g1.p1.u3.y1	0,09833313	3,06E-01	0,5526039	0,1043451	-0,10811525	-0,11380552	-1,0494238	1,65E+00	R2	y1	b5	f7
B5.R2.b6.f7.g1.p1.u3.y1	0,66930054	3,74E-01	0,5886507	0,1267366	-0,13919993	-0,14652625	-1,1907675	2,26E+00	R2	y1	b6	f7
B6.R2.b7.f7.g1.p1.u3.y1	0,32226527	3,70E-01	0,5615395	0,1147129	-0,11747799	-0,12366104	-1,0939203	2,01E+00	R2	y1	b7	f7

