	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
B4.b5.f2.g1.r1.u3.y1	0,3317193	1,18E-01	0,7968335	1,07E-01	-0,2152129	-0,2265398	-1,480613	1,05E+00	b5	f2
B5.b6.f2.g1.r1.u3.y1	0,8488987	4,48E-02	0,7636581	1,19E-01	-0,2262839	-0,2381936	-1,518219	1,17E+00	b6	f2
B6.b7.f2.g1.r1.u3.y1	1,687092	4,87E-02	1,1124444	2,04E-01	-0,4646082	-0,4890612	-2,175459	1,82E+00	b7	f2
f3.g1.r1.u3.y1	1,9617164	6,00E-02	0,8548281	1,79E-01	-0,3513788	-0,3698725	-1,891887	2,43E+00	b0	f3
B1.b1.f3.g1.r1.u3.y1	2,3774307	1,38E+00	0,8847839	4,53E-01	-0,4078487	-0,4293144	-2,038248	4,71E+00	b1	f3
B2.b2.f3.g1.r1.u3.y1	1,1784144	2,70E-01	0,5164129	1,10E-01	-0,1256236	-0,1322354	-1,13121	2,36E+00	b2	f3
B3.b3.f3.g1.r1.u3.y1	2,1956046	8,94E-02	0,6827697	1,27E-01	-0,2663818	-0,2804019	-1,647251	1,96E+00	b3	f3
B7.b4.f3.g1.r1.u3.y1	0,8241285	2,07E-01	0,6804342	1,32E-01	-0,1858583	-0,1956403	-1,375937	1,89E+00	b4	f3
B4.b5.f3.g1.r1.u3.y1	0,2277887	1,27E-01	0,6118692	1,02E-01	-0,1338957	-0,1409428	-1,16786	1,14E+00	b5	f3
B5.b6.f3.g1.r1.u3.y1	0,7361951	1,85E-01	0,6501025	1,22E-01	-0,1682977	-0,1771555	-1,309322	1,76E+00	b6	f3
B6.b7.f3.g1.r1.u3.y1	0,3738784	1,87E-01	0,6218524	1,11E-01	-0,1426709	-0,1501799	-1,205522	1,49E+00	b7	f3
f4.g1.r1.u3.y1	2,0653725	3,32E-01	0,9166118	1,40E-01	-0,3964212	-0,4172855	-2,00949	1,61E+00	b0	f4
B1.b1.f4.g1.r1.u3.y1	2,5618425	8,38E-01	0,9192114	3,80E-01	-0,4480443	-0,4716256	-2,136328	4,31E+00	b1	f4
B2.b2.f4.g1.r1.u3.y1	5,8913125	1,22E+01	1,004933	1,10E-01	-0,9757526	-1,027108	-3,152661	2,80E+00	b2	f4
B3.b3.f4.g1.r1.u3.y1	1,0718546	1,72E-01	0,8008471	1,15E-01	-0,257285	-0,2708263	-1,61888	1,24E+00	b3	f4
B7.b4.f4.g1.r1.u3.y1	1,1181689	1,47E-01	0,8387438	1,25E-01	-0,2793423	-0,2940445	-1,686847	1,37E+00	b4	f4
B4.b5.f4.g1.r1.u3.y1	0,555225	2,53E-01	0,8628586	1,08E-01	-0,2567573	-0,2702709	-1,617219	1,34E+00	b5	f4
B5.b6.f4.g1.r1.u3.y1	0,9889102	1,59E-01	0,8122167	1,17E-01	-0,2579308	-0,2715061	-1,620911	1,21E+00	b6	f4  
B6.b7.f4.g1.r1.u3.y1	0,5465539	1,36E-01	0,7907373	1,08E-01	-0,2231416	-0,2348859	-1,50764	1,08E+00	b7	 f4
f5.g1.r1.u3.y1	2,1170248	9,90E-02	0,857912	1,59E-01	-0,3668738	-0,3861829	-1,933151	2,12E+00	b0	f5
B1.b1.f5.g1.r1.u3.y1	2,4530955	1,13E+00	0,8953629	4,18E-01	-0,4219966	-0,4442069	-2,073299	4,55E+00	b1	f5
B2.b2.f5.g1.r1.u3.y1	1,3780731	9,59E-02	0,5575953	1,06E-01	-0,1519001	-0,1598949	-1,243903	1,98E+00	b2	f5
B3.b3.f5.g1.r1.u3.y1	3,9600262	9,98E-01	0,7469511	1,15E-01	-0,5019778	-0,5283977	-2,261256	1,88E+00	b3	f5
B7.b4.f5.g1.r1.u3.y1	0,9378696	6,28E-02	0,7415559	1,30E-01	-0,2203807	-0,2319797	-1,498284	1,48E+00	 b4	f5
B4.b5.f5.g1.r1.u3.y1	2,4717981	4,64E-01	0,908596	1,37E-01	-0,4319977	-0,4547344	-2,097723	1,30E+00	b5	f5
B5.b6.f5.g1.r1.u3.y1	0,8340435	4,51E-02	0,7098803	1,20E-01	-0,2000234	-0,210551	-1,427407	1,34E+00	b6	f5
B6.b7.f5.g1.r1.u3.y1	0,4546664	5,29E-02	0,6788042	1,09E-01	-0,1693585	-0,1782721	-1,313442	1,06E+00	b7	f5
f6.g1.r1.u3.y1	1,891268	4,48E-02	0,8634847	1,61E-01	-0,35036	-0,3688	-1,889142	2,04E+00	b0	f6
B1.b1.f6.g1.r1.u3.y1	2,4241595	1,20E+00	0,9065198	4,34E-01	-0,4257842	-0,4481939	-2,082583	4,59E+00	b1	f6
B2.b2.f6.g1.r1.u3.y1	0,788017	2,09E-01	0,5665999	1,09E-01	-0,1340143	-0,1410677	-1,168377	1,91E+00	b2	f6
B3.b3.f6.g1.r1.u3.y1	0,8327783	5,23E-02	0,7007054	1,19E-01	-0,1956701	-0,2059685	-1,411788	1,35E+00	b3	f6
B7.b4.f6.g1.r1.u3.y1	0,860839	7,48E-02	0,7505921	1,31E-01	-0,2206637	-0,2322775	-1,499246	1,46E+00	b4	f6
B4.b5.f6.g1.r1.u3.y1	0,0956617	2,19E-02	0,6947558	1,03E-01	-0,1621172	-0,1706497	-1,285056	9,13E-01	b5	f6
B5.b6.f6.g1.r1.u3.y1	0,7261604	6,66E-02	0,7129633	1,21E-01	-0,1963143	-0,2066466	-1,414111	1,33E+00	b6	f6
B6.b7.f6.g1.r1.u3.y1	0,3342933	7,41E-02	0,6932724	1,12E-01	-0,1706803	-0,1796635	-1,318558	1,06E+00	b7	f6
f7.g1.r1.u3.y1	1,8298704	2,77E-01	0,7923382	1,94E-01	-0,3044816	-0,3205069	-1,761116	2,82E+00	b0	f7
B1.b1.f7.g1.r1.u3.y1	2,3014264	1,67E+00	0,8728591	4,94E-01	-0,3931132	-0,4138034	-2,001088	4,86E+00	b1	f7
B2.b2.f7.g1.r1.u3.y1	0,8471857	4,79E-01	0,4819242	1,14E-01	-0,1015183	-0,1068614	-1,016903	2,64E+00	b2	f7
B3.b3.f7.g1.r1.u3.y1	0,764196	3,39E-01	0,5699695	1,21E-01	-0,1346227	-0,1417081	-1,171026	2,22E+00	b3	f7
B7.b4.f7.g1.r1.u3.y1	0,7434059	3,76E-01	0,6234535	1,36E-01	-0,1568227	-0,1650765	-1,263898	2,30E+00	b4	f7
B4.b5.f7.g1.r1.u3.y1	0,1037827	2,83E-01	0,5596504	1,04E-01	-0,1107749	-0,1166051	-1,062253	1,58E+00	b5	f7
B5.b6.f7.g1.r1.u3.y1	0,6731991	3,49E-01	0,5935092	1,26E-01	-0,1413743	-0,1488151	-1,200032	2,19E+00	b6	f7
B6.b7.f7.g1.r1.u3.y1	0,3279144	3,46E-01	0,5681744	1,14E-01	-0,1201547	-0,1264786	-1,106312	1,95E+00	b7	f7

