	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
g1.r1.u3.y1	2,2856973	1,67E-01	0,8761624	0,1583296	-0,3935889	-0,4143041	-2,002299	2,1150394	b0	f0
B1.b1.g1.r1.u3.y1	2,5077891	1,06E+00	0,8991782	4,11E-01	-0,4300345	-0,4526679	-2,092951	4,51E+00	b1	f0
B2.b2.g1.r1.u3.y1	0,9841256	1,12E-01	0,5868865	1,07E-01	-0,1499174	-0,1578078	-1,235758	1,71E+00	b2	f0
B3.b3.g1.r1.u3.y1	0,8530809	1,55E-02	0,8836163	1,42E-01	-0,284531	-0,2995063	-1,702442	1,28E+00	b3	f0
B7.b4.g1.r1.u3.y1	0,9609438	3,47E-02	0,7387415	1,26E-01	-0,2202402	-0,2318318	-1,497807	1,40E+00	b4	f0
B4.b5.g1.r1.u3.y1	0,7740688	1,45E-01	0,8403541	1,18E-01	-0,2588323	-0,2724551	-1,623741	1,01E+00	b5	f0
B5.b6.g1.r1.u3.y1	0,8702063	1,74E-02	0,7132097	1,18E-01	-0,2033551	-0,214058	-1,439246	1,27E+00	b6	f0
B6.b7.g1.r1.u3.y1	0,4879982	2,24E-02	0,6701003	1,05E-01	-0,1669679	-0,1757557	-1,304139	9,87E-01	b7	f0
f1.g1.r1.u3.y1	2,0147364	2,59E-01	0,8776696	1,39E-01	-0,3692905	-0,3887268	-1,939508	1,60E+00	b0	f1
B1.b1.f1.g1.r1.u3.y1	2,5627649	8,47E-01	0,9083499	3,77E-01	-0,4415109	-0,4647484	-2,120695	4,32E+00	b1	f1 
B2.b2.f1.g1.r1.u3.y1	4,7969229	1,53E+00	0,6636816	1,02E-01	-0,5581658	-0,5875429	-2,384455	2,65E+00	b2	f1
B3.b3.f1.g1.r1.u3.y1	1,8079697	3,84E-01	1,0149628	1,43E-01	-0,4264575	-0,4489026	-2,084228	1,59E+00	b3	f1
B7.b4.f1.g1.r1.u3.y1	1,142073	1,23E-01	0,8222321	1,25E-01	-0,2724935	-0,2868353	-1,66604	1,35E+00	b4	f1
B4.b5.f1.g1.r1.u3.y1	1,5430907	5,32E-01	1,0170483	1,23E-01	-0,4036684	-0,4249141	-2,027775	1,51E+00	b5	f1
B5.b6.f1.g1.r1.u3.y1	1,0313254	1,42E-01	0,7958752	1,17E-01	-0,2523542	-0,2656361	-1,603292	1,20E+00	b6	f1
B6.b7.f1.g1.r1.u3.y1	0,6144366	1,23E-01	0,7657177	1,07E-01	-0,2151249	-0,2264473	-1,48031	1,04E+00	b7	f1
f2.g1.r1.u3.y1	1,9631808	1,82E-01	0,8926166	1,50E-01	-0,3733102	-0,3929581	-1,950035	1,72E+00	b0	f2
B1.b1.f2.g1.r1.u3.y1	3,3903709	8,56E-01	0,9989523	5,20E-01	-0,5983479	-0,6298399	-2,468791	4,78E+00	b1	f2
B2.b2.f2.g1.r1.u3.y1	3,0755402	3,68E-01	0,6800925	1,20E-01	-0,3394006	-0,3572638	-1,859361	2,09E+00	b2	f2
B3.b3.f2.g1.r1.u3.y1	0,9121528	5,45E-02	0,7455192	1,16E-01	-0,2209336	-0,2325617	-1,500163	1,20E+00	b3	f2
B7.b4.f2.g1.r1.u3.y1	0,9838568	3,57E-02	0,7960752	1,28E-01	-0,2496414	-0,2627804	-1,594651	1,34E+00	b4	f2
