	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
R2.g1.p1.u3.y1	2,2807597	0,415697122	0,8734108	0,12996983	-0,3914497	-0,4120523	-1,99685	1,5819438	b0	f0
B1.R2.b1.g1.p1.u3.y1	2,5517656	0,747587718	0,8834003	0,34462441	-0,4249137	-0,4472776	-2,080453	4,1956859	b1	f0
B2.R2.b2.g1.p1.u3.y1	1,4251284	0,139580539	0,6382881	0,09882475	-0,1941831	-0,2044033	-1,406414	1,3351093	b2	f0
B4.R2.b5.g1.p1.u3.y1	0,5935012	0,322889687	0,7882889	0,09328796	-0,2244269	-0,2362388	-1,511976	1,499891	b5	f0
B5.R2.b6.g1.p1.u3.y1	1,1336984	0,246613843	0,7466763	0,10162111	-0,2336693	-0,2459677	-1,542795	1,1387179	b6	f0
R2.f1.g1.p1.u3.y1	2,1591286	0,172203895	0,7890472	0,13705026	-0,3290235	-0,3463406	-1,830716	1,9090431	b0	f1
B1.R2.b1.f1.g1.p1.u3.y1	2,5107339	0,93204282	0,8676229	0,37009299	-0,4107856	-0,4324059	-2,045573	4,3843871	b1	f1
B2.R2.b2.f1.g1.p1.u3.y1	6,0898507	7,503477248	0,6416406	0,05511417	-0,8066975	-0,8491553	-2,866572	4,1137415	b2	f1
B4.R2.b5.f1.g1.p1.u3.y1	1,1564585	0,326017233	0,818505	0,1056236	-0,2715153	-0,2858056	-1,663047	1,1576843	b5	f1
B5.R2.b6.f1.g1.p1.u3.y1	1,0541585	0,086959907	0,6735238	0,10333803	-0,1933651	-0,2035422	-1,403448	1,0916369	b6	f1
R2.f10.g1.p1.u3.y1	2,6061504	1,035793284	0,9131792	0,10176422	-0,4491803	-0,4728213	-2,139034	2,2755638	b0	f10
B1.R2.b1.f10.g1.p1.u3.y1	2,7772284	0,311534309	0,8967634	0,27659805	-0,458015	-0,4821211	-2,159968	3,6364905	b1	f10
B2.R2.b2.f10.g1.p1.u3.y1	5,5923123	8,637244444	0,9341289	0,08415896	-0,925918	-0,9746506	-3,071098	3,5805903	b2	f10
B4.R2.b5.f10.g1.p1.u3.y1	1,2085295	0,916706369	0,9401579	0,08538122	-0,3372435	-0,3549931	-1,853443	3,5493406	  b5	f10
B5.R2.b6.f10.g1.p1.u3.y1	1,8045232	0,865029679	0,9156855	0,09474537	-0,3723539	-0,3919515	-1,947536	2,408848	b6	f10
R2.f15.g1.p1.u3.y1	5,0617803	3,215543478	0,8991041	0,18174596	-0,9089168	-0,9623824	-2,76413	3,7126916	b0	f15
B1.R2.b1.f15.g1.p1.u3.y1	4,3235873	0,541227979	0,8511508	0,62065996	-0,7338238	-0,7769899	-2,483661	4,8749605	b1	f15
B2.R2.b2.f15.g1.p1.u3.y1	3,9428735	0,422003063	0,9107567	0,26581174	-0,6956753	-0,739155	-2,465329	3,6045255	b2	f15
B4.R2.b5.f15.g1.p1.u3.y1	3,9732528	1,78138311	0,911661	0,22400671	-0,8445914	-0,9049194	-2,176735	2,7346044	b5	f15
B5.R2.b6.f15.g1.p1.u3.y1	4,1313193	1,832600395	0,8775386	0,2375385	-0,863727	-0,9254218	-2,201256	2,9770215	b6	f15
R2.f16.g1.p1.u3.y1	3,4847629	0,046874429	0,8924822	0,31573517	-0,6072798	-0,6430022	-2,259388	3,6635944	b0	f16
B1.R2.b1.f16.g1.p1.u3.y1	4,0432408	1,21641154	0,8360881	0,76116638	-0,6672177	-0,7064658	-2,368265	5,0588132	b1	f16
B2.R2.b2.f16.g1.p1.u3.y1	2,7349232	0,499947675	0,8014686	0,36516196	-0,4706242	-0,5019991	-1,835251	3,64744	b2	f16
B4.R2.b5.f16.g1.p1.u3.y1	2,2999527	0,146059253	0,909682	0,33768749	-0,5302186	-0,5710047	-1,723309	2,7048326	b5	f16
B5.R2.b6.f16.g1.p1.u3.y1	2,851889	0,124974294	0,9165709	0,3864433	-0,6229284	-0,6674233	-1,869396	3,1120026	b6	f16
R2.f17.g1.p1.u3.y1	3,4243752	0,154877667	0,9416899	0,32467258	-0,5872253	-0,619849	-2,388025	3,8650144	b0	f17
B1.R2.b1.f17.g1.p1.u3.y1	4,6066897	0,93399941	0,9480904	0,88097221	-0,7888043	-0,8326268	-2,767713	5,3681579	b1	f17
B2.R2.b2.f17.g1.p1.u3.y1	2,588495	0,710197286	0,7469895	0,29622206	-0,3506604	-0,3701416	-1,845355	4,0813734	b2	f17
B4.R2.b5.f17.g1.p1.u3.y1	1,9651652	0,435046574	0,8638797	0,28066747	-0,3796639	-0,4033928	-1,821257	3,1805084	b5	f17
B5.R2.b6.f17.g1.p1.u3.y1	2,3169923	0,494503763	0,8800549	0,32319303	-0,4280012	-0,4547513	-1,933723	3,474674	b6	f17
R2.f18.g1.p1.u3.y1	3,4288585	0,154092007	0,9418866	0,32497704	-0,5880094	-0,6206766	-2,389619	3,8671391	b0	f18
B1.R2.b1.f18.g1.p1.u3.y1	4,6050972	0,938675359	0,949221	0,88391634	-0,7891112	-0,8329507	-2,768252	5,3693029	b1	f18
B2.R2.b2.f18.g1.p1.u3.y1	2,5905695	0,711847911	0,7474389	0,29684103	-0,3511719	-0,3706814	-1,8467	4,0846122	b2	f18
B4.R2.b5.f18.g1.p1.u3.y1	1,9702011	0,435768955	0,8651077	0,28155679	-0,3809178	-0,4047251	-1,824262	3,1851373	b5	f18
B5.R2.b6.f18.g1.p1.u3.y1	2,3191022	0,494449475	0,8806131	0,32357504	-0,4285975	-0,4553849	-1,935069	3,4760006	b6	f18
R2.f2.g1.p1.u3.y1	2,0459718	0,089417202	0,8187639	0,1502582	-0,3373613	-0,3551171	-1,853767	2,0848896	b0	f2
B1.R2.b1.f2.g1.p1.u3.y1	2,4221785	1,092145641	0,8717665	0,39546486	-0,4043607	-0,4256428	-2,029513	4,4958965	b1	f2
B2.R2.b2.f2.g1.p1.u3.y1	1,0989116	0,091801464	0,5562481	0,10126624	-0,1404903	-0,1478845	-1,196274	1,7393572	b2	f2
B4.R2.b5.f2.g1.p1.u3.y1	0,3579258	0,056684343	0,6120085	0,08693516	-0,1381818	-0,1454545	-1,186405	0,8226793	b5	f2
B5.R2.b6.f2.g1.p1.u3.y1	0,9027526	0,007929586	0,6500767	0,10495723	-0,1753509	-0,1845799	-1,336477	1,1771014	b6	f2
R2.f3.g1.p1.u3.y1	2,00107	0,166045219	0,761898	0,17505277	-0,2998248	-0,315605	-1,747597	2,6835972	b0	f3
B1.R2.b1.f3.g1.p1.u3.y1	2,3644879	1,439758105	0,8465726	0,44107693	-0,3830953	-0,4032582	-1,975426	4,7427819	b1	f3
B2.R2.b2.f3.g1.p1.u3.y1	1,1867425	0,283998998	0,502231	0,10863778	-0,1197297	-0,1260313	-1,104354	2,36684	b2	f3
B4.R2.b5.f3.g1.p1.u3.y1	0,4484183	0,129141711	0,526422	0,09004029	-0,1077942	-0,1134676	-1,047865	1,2678529	b5	f3
B5.R2.b6.f3.g1.p1.u3.y1	0,9234204	0,195162166	0,5647449	0,10966727	-0,137913	-0,1451715	-1,18525	1,9049046	b6	f3
R2.f4.g1.p1.u3.y1	2,2916281	0,682664569	0,9516372	0,12055735	-0,4387927	-0,4618871	-2,114157	1,6852586	b0	f4
B1.R2.b1.f4.g1.p1.u3.y1	2,5659137	0,571154484	0,9021813	0,31824515	-0,4380576	-0,4611133	-2,112385	3,9577573	b1	f4
B2.R2.b2.f4.g1.p1.u3.y1	4,2241817	1,54758419	0,7067833	0,09115583	-0,5060898	-0,5327261	-2,270499	1,8361546	b2	f4
B4.R2.b5.f4.g1.p1.u3.y1	0,6460968	0,533852203	0,8744699	0,0903722	-0,2674433	-0,2815192	-1,650529	2,4586726	b5	f4 
B5.R2.b6.f4.g1.p1.u3.y1	1,2939409	0,475501937	0,8537937	0,1015354	-0,298959	-0,3146936	-1,745072	1,5977491	b6	f4
R2.f5.g1.p1.u3.y1	2,2560854	0,338875001	0,8743711	0,13691122	-0,3896588	-0,4101671	-1,992277	1,6978813	b0	f5
B1.R2.b1.f5.g1.p1.u3.y1	2,4997555	0,825971689	0,8771773	0,35327427	-0,4156135	-0,4374879	-2,057559	4,261598	b1	f5
B2.R2.b2.f5.g1.p1.u3.y1	1,1459866	0,048009142	0,6635168	0,10703791	-0,1929553	-0,2031108	-1,40196	1,3954881	b2	f5
B4.R2.b5.f5.g1.p1.u3.y1	0,5283799	0,228425934	0,6937035	0,0871562	-0,1788438	-0,1882566	-1,349722	1,1552686	b5	f5
B5.R2.b6.f5.g1.p1.u3.y1	1,0785093	0,179779882	0,7348698	0,10468054	-0,2246816	-0,236507	-1,512834	1,0992747	b6	f5
R2.f6.g1.p1.u3.y1	2,0834966	0,280049207	0,8811045	0,13956989	-0,3775069	-0,3973757	-1,960965	1,6519676	b0	f6
B1.R2.b1.f6.g1.p1.u3.y1	2,4242903	0,909258263	0,8874822	0,36833454	-0,414227	-0,4360285	-2,054124	4,3151212	b1	f6
B2.R2.b2.f6.g1.p1.u3.y1	1,0660394	0,015767357	0,616245	0,10100927	-0,1666777	-0,1754502	-1,303005	1,3724617	b2	f6
B4.R2.b5.f6.g1.p1.u3.y1	0,3182725	0,187722071	0,7076702	0,08930183	-0,1761064	-0,1853752	-1,339353	1,1491816	b5	f6
B5.R2.b6.f6.g1.p1.u3.y1	0,9261413	0,143565442	0,7327033	0,10514213	-0,2154902	-0,2268318	-1,481567	1,0860721	b6	f6
R2.f7.g1.p1.u3.y1	1,995564	0,073109958	0,7985579	0,16934093	-0,3211776	-0,3380817	-1,808756	2,4793234	b0	f7
B1.R2.b1.f7.g1.p1.u3.y1	2,3466217	1,330233218	0,853234	0,42341231	-0,3854887	-0,4057776	-1,981588	4,657474	b1 	f7  
B2.R2.b2.f7.g1.p1.u3.y1	1,1228343	0,22585483	0,5297396	0,10851141	-0,1295845	-0,1364047	-1,148904	2,1726936	b2	f7
B4.R2.b5.f7.g1.p1.u3.y1	0,3440196	0,07423882	0,5685269	0,09133415	-0,1207607	-0,1271165	-1,109099	0,9995901	b5	f7
B5.R2.b6.f7.g1.p1.u3.y1	0,8720602	0,129354916	0,6031219	0,11005233	-0,1528458	-0,1608904	-1,247769	1,6526222	b6	f7
R2.f8.g1.p1.u3.y1	2,4667781	0,101807247	0,6640061	0,15558308	-0,2747579	-0,2892188	-1,672948	2,8624626	b0	f8
B1.R2.b1.f8.g1.p1.u3.y1	2,3398513	1,816244976	0,8296106	0,49536172	-0,3702128	-0,3896977	-1,941928	4,9548625	b1	f8
B2.R2.b2.f8.g1.p1.u3.y1	1,6547164	0,240931636	0,4572406	0,10253088	-0,1148156	-0,1208586	-1,081454	2,5749932	b2	f8
B4.R2.b5.f8.g1.p1.u3.y1	1,2563535	0,034734457	0,4886449	0,0860216	-0,1160721	-0,1221811	-1,087355	1,5488202	b5	f8
B5.R2.b6.f8.g1.p1.u3.y1	1,3974093	0,163001198	0,4835349	0,09774783	-0,1183345	-0,1245626	-1,097901	2,1081793	b6	f8
R2.f9.g1.p1.u3.y1	2,5553471	0,319761444	0,8434686	0,14195643	-0,4000806	-0,4211375	-2,018744	2,0522013	b0	f9
B1.R2.b1.f9.g1.p1.u3.y1	2,5975602	0,879792311	0,8637334	0,36500062	-0,4173659	-0,4393325	-2,061892	4,3746994	b1	f9
B2.R2.b2.f9.g1.p1.u3.y1	1,4577941	0,022115421	0,619977	0,10744365	-0,1864279	-0,1962399	-1,378044	1,6836272	b2	f9
B4.R2.b5.f9.g1.p1.u3.y1	0,6440236	0,177298945	0,6173663	0,08199682	-0,1504258	-0,158343	-1,237852	0,9187741	b5	f9
B5.R2.b6.f9.g1.p1.u3.y1	1,1634551	0,122230778	0,6456812	0,09742581	-0,1850874	-0,1948289	-1,37308	1,0455575	b6	f9

