	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
B2.R2.b2.f4.g1.p1.u3.y1	4,26183442	1,12778333	0,7007644	0,10918008	-0,50627146	-0,53291732	-2,2709061	2,1567158	b2	f4
B4.R2.b5.f4.g1.p1.u3.y1	0,34364308	0,19745375	0,8425847	0,10649666	-0,23605167	-0,24847545	-1,55064	1,2930501	b5	f4
B5.R2.b6.f4.g1.p1.u3.y1	0,95908945	0,12903029	0,8019146	0,11764889	-0,2510643	-0,26427821	-1,5991895	1,1997261	b6	f4
R2.f5.g1.p1.u3.y1	2,02797177	0,04861124	0,857389	0,16359765	-0,35862934	-0,37750457	-1,9113066	2,1779488	b0	f5
B1.R2.b1.f5.g1.p1.u3.y1	2,43638458	1,1590306	0,8924842	0,42021517	-0,41851889	-0,4405462	-2,0647381	4,5612982	b1	f5
B2.R2.b2.f5.g1.p1.u3.y1	0,81068996	0,20700961	0,6065186	0,11723164	-0,15199231	-0,15999191	-1,2442804	1,9259314	b2	f5
B4.R2.b5.f5.g1.p1.u3.y1	0,23711963	0,02208518	0,6611906	0,09995118	-0,15376163	-0,16185435	-1,2515017	0,8641206	b5	f5
B5.R2.b6.f5.g1.p1.u3.y1	0,81728909	0,06941589	0,7014267	0,12085546	-0,19527273	-0,20555024	-1,4103544	1,4158976	  b6	f5
R2.f6.g1.p1.u3.y1	1,88505971	0,01300787	0,8612027	0,16564588	-0,34852727	-0,36687081	-1,8841949	2,1282961	b0	f6
B1.R2.b1.f6.g1.p1.u3.y1	2,40726795	1,22313145	0,9037319	0,43611715	-0,42236231	-0,44459191	-2,0741971	4,6010632	b1	f6 
B2.R2.b2.f6.g1.p1.u3.y1	0,78268545	0,23034397	0,5588823	0,10939855	-0,13060003	-0,13747372	-1,1533977	1,9692306	b2	f6
B4.R2.b5.f6.g1.p1.u3.y1	0,07717006	0,04422372	0,6840824	0,10345279	-0,15717647	-0,16544892	-1,2653225	0,9136269	b5	f6
B5.R2.b6.f6.g1.p1.u3.y1	0,71068497	0,08995046	0,7047869	0,12183329	-0,19185079	-0,2019482	-1,3979423	1,3974041	b6	f6
R2.f7.g1.p1.u3.y1	1,82259471	0,31527511	0,7908717	0,19898936	-0,3030828	-0,31903452	-1,7570661	2,9185297	b0	f7
B1.R2.b1.f7.g1.p1.u3.y1	2,28889943	1,70070928	0,8701148	0,49566321	-0,39023915	-0,41077806	-1,9937599	4,8744025	b1	f7
B2.R2.b2.f7.g1.p1.u3.y1	0,85101273	0,50219598	0,4775482	0,11483138	-0,09993041	-0,10518991	-1,008919	2,7042953	b2	f7
B4.R2.b5.f7.g1.p1.u3.y1	0,09833313	0,30635066	0,5526039	0,1043451	-0,10811525	-0,11380552	-1,0494238	1,6539157	b5	f7
B5.R2.b6.f7.g1.p1.u3.y1	0,66930054	0,37375837	0,5886507	0,12673656	-0,13919993	-0,14652625	-1,1907675	2,2560305	b6	f7
R2.f8.g1.p1.u3.y1	2,22759462	0,37846405	0,662475	0,18555655	-0,2561089	-0,26958832	-1,6151757	3,3716807	b0	f8
B1.R2.b1.f8.g1.p1.u3.y1	2,30325628	2,19269469	0,8495808	0,57231981	-0,37909146	-0,39904364	-1,9650764	5,1131656	b1	f8
B2.R2.b2.f8.g1.p1.u3.y1	1,38478627	0,51931194	0,415712	0,10913619	-0,08928523	-0,09398446	-0,9536681	3,0971952	b2	f8
B4.R2.b5.f8.g1.p1.u3.y1	0,90569869	0,29023481	0,4557642	0,09478697	-0,09300732	-0,09790244	-0,9733432	2,1404239	b5	f8
B5.R2.b6.f8.g1.p1.u3.y1	1,12416303	0,43347688	0,4654613	0,111128	-0,10248514	-0,10787909	-1,0217341	2,717935	b6	f8
R2.f9.g1.p1.u3.y1	2,3164131	0,03143296	0,841587	0,17244396	-0,37542123	-0,39518024	-1,9555407	2,4994367	b0	f9
B1.R2.b1.f9.g1.p1.u3.y1	2,53123883	1,21140629	0,8802481	0,43242528	-0,42079523	-0,44294235	-2,0703456	4,6476131	b1	f9
B2.R2.b2.f9.g1.p1.u3.y1	1,16341181	0,22973575	0,5801832	0,12031769	-0,15389163	-0,16199118	-1,2520306	2,241427	b2	f9
B4.R2.b5.f9.g1.p1.u3.y1	0,34597859	0,06439376	0,5970552	0,09517251	-0,13187284	-0,13881352	-1,1590045	0,9890382	b5	f9
B5.R2.b6.f9.g1.p1.u3.y1	0,91482786	0,11747249	0,6239089	0,11349849	-0,16388086	-0,17250617	-1,2920269	1,6679269	b6	f9

