	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
R2.g1.p1.u3.y1	2,0461152	0,10203017	0,8575638	0,15624383	-0,36033099	-0,37929578	-1,9158357	2,0402197	b0	f0
B1.R2.b1.g1.p1.u3.y1	2,50758083	1,06012244	0,8991416	0,41049166	-0,42999018	-0,45262125	-2,0928433	4,5078366	b1	f0
B2.R2.b2.g1.p1.u3.y1	1,15557684	0,10470874	0,5898129	0,10981091	-0,1580625	-0,16638158	-1,2688839	1,8450668	b2	f0
B3.R2.b3.g1.p1.u3.y1	0,88635441	0,0110122	0,6952888	0,11440361	-0,19568099	-0,20597999	-1,4118279	1,2343494	b3	f0
B7.R2.b4.g1.p1.u3.y1	0,95708653	3,48E-02	0,7348096	1,25E-01	-0,21812753	-0,22960792	-1,4906054	1,40E+00	b4	f0
B4.R2.b5.g1.p1.u3.y1	0,35474723	5,86E-02	0,7778706	1,11E-01	-0,2079835	-0,21893	-1,4555324	1,02E+00	  b5	f0
B5.R2.b6.g1.p1.u3.y1	0,86973764	1,76E-02	0,7130973	1,18E-01	-0,2032789	-0,21397779	-1,4389762	1,27E+00	b6	f0
B6.R2.b7.g1.p1.u3.y1	0,48273826	2,33E-02	0,6702913	1,05E-01	-0,16684042	-0,1756215	-1,3036412	9,86E-01	b7	f0
R2.f1.g1.p1.u3.y1	1,97911709	6,73E-02	0,7786938	1,63E-01	-0,30809032	-0,3243056	-1,7715217	2,37E+00	b0	f1
B1.R2.b1.f1.g1.p1.u3.y1	2,44091769	1,27E+00	0,8834108	4,38E-01	-0,41342615	-0,43518542	-2,0521373	4,66E+00	b1	f1
B2.R2.b2.f1.g1.p1.u3.y1	6,12354829	6,68E+00	0,6424453	6,28E-02	-0,8156192	-0,85854652	-2,8823795	4,41E+00	b2	f1
B3.R2.b3.f1.g1.p1.u3.y1	0,7271767	1,52E-01	0,6439617	1,18E-01	-0,16520367	-0,1738986	-1,2972309	1,64E+00	b3	f1
B7.R2.b4.f1.g1.p1.u3.y1	0,87869108	1,72E-01	0,6696767	1,27E-01	-0,18335079	-0,19300084	-1,3666234	1,82E+00	b4	f1
B4.R2.b5.f1.g1.p1.u3.y1	1,05680019	9,62E-02	0,8396337	1,29E-01	-0,27583022	-0,2903476	-1,6762098	1,23E+00	b5	f1
B5.R2.b6.f1.g1.p1.u3.y1	0,81346236	1,48E-01	0,6490183	1,20E-01	-0,17103635	-0,18003826	-1,3199323	1,70E+00	b6	f1
B6.R2.b7.f1.g1.p1.u3.y1	0,46140147	1,46E-01	0,6042658	1,05E-01	-0,13852904	-0,14582005	-1,1878945	1,40E+00	b7	f1 
R2.f2.g1.p1.u3.y1	1,86334473	1,41E-01	0,8079868	1,78E-01	-0,31610955	-0,3327469	-1,7944289	2,51E+00	b0	f2
B1.R2.b1.f2.g1.p1.u3.y1	2,38982605	1,42E+00	0,8888501	4,65E-01	-0,41156867	-0,43323018	-2,0475221	4,74E+00	b1	f2
B2.R2.b2.f2.g1.p1.u3.y1	0,83051074	3,49E-01	0,5045702	1,09E-01	-0,10993743	-0,11572361	-1,0582304	2,32E+00	b2	f2
B3.R2.b3.f2.g1.p1.u3.y1	0,78574183	2,07E-01	0,6075702	1,17E-01	-0,1515051	-0,15947905	-1,2422845	1,86E+00	b3	f2
B7.R2.b4.f2.g1.p1.u3.y1	0,78537203	2,38E-01	0,6607416	1,31E-01	-0,17514421	-0,18436232	-1,335689	1,95E+00	b4 	f2
B4.R2.b5.f2.g1.p1.u3.y1	0,11726246	1,62E-01	0,5955513	1,00E-01	-0,12430004	-0,13084215	-1,1252346	1,17E+00	b5	f2
B5.R2.b6.f2.g1.p1.u3.y1	0,70386215	2,19E-01	0,6336614	1,22E-01	-0,15974293	-0,16815045	-1,275611	1,84E+00	b6	f2
B6.R2.b7.f2.g1.p1.u3.y1	0,34437008	2,16E-01	0,5981264	1,09E-01	-0,13224247	-0,1392026	-1,1606277	1,56E+00	b7	f2
R2.f3.g1.p1.u3.y1	1,82797424	4,21E-01	0,7576944	2,06E-01	-0,2843729	-0,29933989	-1,7019686	3,18E+00	b0	f3
B1.R2.b1.f3.g1.p1.u3.y1	2,30223038	1,82E+00	0,8635511	5,14E-01	-0,38753365	-0,40793015	-1,9868366	4,94E+00	b1	f3
B2.R2.b2.f3.g1.p1.u3.y1	0,91870312	5,67E-01	0,4518729	1,14E-01	-0,0918569	-0,09669147	-0,9673048	2,90E+00	b2	f3
B3.R2.b3.f3.g1.p1.u3.y1	0,79637332	4,39E-01	0,5168834	1,18E-01	-0,11385766	-0,11985017	-1,0769327	2,50E+00	b3	f3
B7.R2.b4.f3.g1.p1.u3.y1	0,75251415	4,84E-01	0,5699	1,34E-01	-0,13419737	-0,14126039	-1,1691748	2,59E+00	b4	f3
B4.R2.b5.f3.g1.p1.u3.y1	0,19063896	3,71E-01	0,5093816	1,02E-01	-0,09524946	-0,10026259	-0,9850056	1,90E+00	b5	f3
B5.R2.b6.f3.g1.p1.u3.y1	0,71697663	4,48E-01	0,5531663	1,26E-01	-0,12610379	-0,13274083	-1,1333695	2,47E+00	b6	f3
B6.R2.b7.f3.g1.p1.u3.y1	0,39841709	4,34E-01	0,5160177	1,11E-01	-0,102654	-0,10805684	-1,0225755	2,22E+00	b7	f3
R2.f4.g1.p1.u3.y1	2,00597761	2,74E-01	0,9243912	1,46E-01	-0,39532478	-0,41613135	-2,0067093	1,62E+00	b0	f4
B1.R2.b1.f4.g1.p1.u3.y1	2,54197437	8,63E-01	0,9164858	3,82E-01	-0,4442422	-0,46762337	-2,1272442	4,33E+00	b1	f4
B2.R2.b2.f4.g1.p1.u3.y1	4,26183442	1,13E+00	0,7007644	1,09E-01	-0,50627146	-0,53291732	-2,2709061	2,16E+00	b2	f4
B3.R2.b3.f4.g1.p1.u3.y1	0,97099567	1,35E-01	0,8077564	1,18E-01	-0,25465009	-0,26805273	-1,6105691	1,21E+00	b3	f4
B7.R2.b4.f4.g1.p1.u3.y1	1,08250318	1,15E-01	0,8273944	1,26E-01	-0,27130978	-0,28558924	-1,6624178	1,35E+00	b4	f4
B4.R2.b5.f4.g1.p1.u3.y1	0,34364308	1,97E-01	0,8425847	1,06E-01	-0,23605167	-0,24847545	-1,55064	1,29E+00	b5	f4
B5.R2.b6.f4.g1.p1.u3.y1	0,95908945	1,29E-01	0,8019146	1,18E-01	-0,2510643	-0,26427821	-1,5991895	1,20E+00	b6	f4
B6.R2.b7.f4.g1.p1.u3.y1	0,53589312	1,10E-01	0,775536	1,08E-01	-0,21569362	-0,22704592	-1,4822658	1,06E+00	b7 	f4
R2.f5.g1.p1.u3.y1	2,02797177	4,86E-02	0,857389	1,64E-01	-0,35862934	-0,37750457	-1,9113066	2,18E+00	b0	f5
B1.R2.b1.f5.g1.p1.u3.y1	2,43638458	1,16E+00	0,8924842	4,20E-01	-0,41851889	-0,4405462	-2,0647381	4,56E+00	b1	f5
B2.R2.b2.f5.g1.p1.u3.y1	0,81068996	2,07E-01	0,6065186	1,17E-01	-0,15199231	-0,15999191	-1,2442804	1,93E+00	b2	f5
B3.R2.b3.f5.g1.p1.u3.y1	0,88348092	6,19E-02	0,6967557	1,20E-01	-0,19623431	-0,20656244	-1,4138226	1,43E+00	b3	f5
B7.R2.b4.f5.g1.p1.u3.y1	0,91433497	8,92E-02	0,7310127	1,30E-01	-0,21406563	-0,22533224	-1,4766614	1,56E+00	b4	f5
