	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
R2.g1.p1.u3.y1	2,2807597	4,16E-01	0,8734108	0,12996983	-0,3914497	-0,4120523	-1,99685	1,5819438	b0	f0
B1.R2.b1.g1.p1.u3.y1	2,5517656	7,48E-01	0,8834003	0,34462441	-0,4249137	-0,4472776	-2,080453	4,1956859	b1	f0
B2.R2.b2.g1.p1.u3.y1	1,4251284	1,40E-01	0,6382881	9,88E-02	-0,1941831	-0,2044033	-1,406414	1,34E+00	b2	f0
B4.R2.b5.g1.p1.u3.y1	0,5935012	3,23E-01	0,7882889	9,33E-02	-0,2244269	-0,2362388	-1,511976	1,50E+00	b5	f0
B5.R2.b6.g1.p1.u3.y1	1,1336984	2,47E-01	0,7466763	1,02E-01	-0,2336693	-0,2459677	-1,542795	1,14E+00	b6	f0
R2.f1.g1.p1.u3.y1	2,1591286	1,72E-01	0,7890472	1,37E-01	-0,3290235	-0,3463406	-1,830716	1,91E+00	b0	f1
B1.R2.b1.f1.g1.p1.u3.y1	2,5107339	9,32E-01	0,8676229	3,70E-01	-0,4107856	-0,4324059	-2,045573	4,38E+00	b1	f1
B2.R2.b2.f1.g1.p1.u3.y1	6,0898507	7,50E+00	0,6416406	5,51E-02	-0,8066975	-0,8491553	-2,866572	4,11E+00	b2	f1 
B4.R2.b5.f1.g1.p1.u3.y1	1,1564585	3,26E-01	0,818505	1,06E-01	-0,2715153	-0,2858056	-1,663047	1,16E+00	b5	f1
B5.R2.b6.f1.g1.p1.u3.y1	1,0541585	8,70E-02	0,6735238	1,03E-01	-0,1933651	-0,2035422	-1,403448	1,09E+00	b6	f1
R2.f10.g1.p1.u3.y1	2,6061504	1,04E+00	0,9131792	1,02E-01	-0,4491803	-0,4728213	-2,139034	2,28E+00	b0	f10
B1.R2.b1.f10.g1.p1.u3.y1	2,7772284	3,12E-01	0,8967634	2,77E-01	-0,458015	-0,4821211	-2,159968	3,64E+00	b1	f10
B2.R2.b2.f10.g1.p1.u3.y1	5,5923123	8,64E+00	0,9341289	8,42E-02	-0,925918	-0,9746506	-3,071098	3,58E+00	b2	f10
B4.R2.b5.f10.g1.p1.u3.y1	1,2085295	9,17E-01	0,9401579	8,54E-02	-0,3372435	-0,3549931	-1,853443	3,55E+00	b5	f10
B5.R2.b6.f10.g1.p1.u3.y1	1,8045232	8,65E-01	0,9156855	9,47E-02	-0,3723539	-0,3919515	-1,947536	2,41E+00	b6	f10
R2.f15.g1.p1.u3.y1	5,0617803	5,22E+00	0,8991041	1,82E-01	-0,9089168	-0,9623824	-2,76413	9,40E+00	b0	f15
B1.R2.b1.f15.g1.p1.u3.y1	4,3235873	2,54E+00	0,8511508	6,21E-01	-0,7338238	-0,7769899	-2,483661	6,91E+00	b1	f15
B2.R2.b2.f15.g1.p1.u3.y1	3,9428735	2,42E+00	0,9107567	2,66E-01	-0,6956753	-0,739155	-2,465329	8,44E+00	b2	f15
B4.R2.b5.f15.g1.p1.u3.y1	3,9732528	3,78E+00	0,911661	2,24E-01	-0,8445914	-0,9049194	-2,176735	8,41E+00	b5	f15
B5.R2.b6.f15.g1.p1.u3.y1	4,1313193	3,83E+00	0,8775386	2,38E-01	-0,863727	-0,9254218	-2,201256	8,02E+00	b6	f15
R2.f16.g1.p1.u3.y1	3,4847629	2,05E+00	0,8924822	3,16E-01	-0,6072798	-0,6430022	-2,259388	8,19E+00	b0	f16
B1.R2.b1.f16.g1.p1.u3.y1	4,0432408	3,22E+00	0,8360881	7,61E-01	-0,6672177	-0,7064658	-2,368265	6,73E+00	b1	f16
B2.R2.b2.f16.g1.p1.u3.y1	2,7349232	2,50E+00	0,8014686	3,65E-01	-0,4706242	-0,5019991	-1,835251	7,30E+00	b2	f16
B4.R2.b5.f16.g1.p1.u3.y1	2,2999527	2,15E+00	0,909682	3,38E-01	-0,5302186	-0,5710047	-1,723309	7,34E+00	b5	f16
B5.R2.b6.f16.g1.p1.u3.y1	2,851889	2,12E+00	0,9165709	3,86E-01	-0,6229284	-0,6674233	-1,869396	7,19E+00	b6	f16
R2.f17.g1.p1.u3.y1	3,4243752	2,15E+00	0,9416899	3,25E-01	-0,5872253	-0,619849	-2,388025	8,57E+00	b0	f17
B1.R2.b1.f17.g1.p1.u3.y1	4,6066897	2,93E+00	0,9480904	8,81E-01	-0,7888043	-0,8326268	-2,767713	7,00E+00	  b1	f17
B2.R2.b2.f17.g1.p1.u3.y1	2,588495	2,71E+00	0,7469895	2,96E-01	-0,3506604	-0,3701416	-1,845355	8,29E+00	b2	f17
B4.R2.b5.f17.g1.p1.u3.y1	1,9651652	2,44E+00	0,8638797	2,81E-01	-0,3796639	-0,4033928	-1,821257	8,47E+00	b5	f17
B5.R2.b6.f17.g1.p1.u3.y1	2,3169923	2,49E+00	0,8800549	3,23E-01	-0,4280012	-0,4547513	-1,933723	8,13E+00	b6	f17
R2.f18.g1.p1.u3.y1	3,4288585	2,15E+00	0,9418866	3,25E-01	-0,5880094	-0,6206766	-2,389619	8,57E+00	b0	f18
