	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
B1.R2.b1.f18.g1.p1.u3.y1	4,6050972	2,94E+00	0,949221	8,84E-01	-0,7891112	-0,8329507	-2,768252	7,00E+00	b1	f18
B2.R2.b2.f18.g1.p1.u3.y1	2,5905695	2,71E+00	0,7474389	2,97E-01	-0,3511719	-0,3706814	-1,8467	8,28E+00	b2	f18
B4.R2.b5.f18.g1.p1.u3.y1	1,9702011	2,44E+00	0,8651077	2,82E-01	-0,3809178	-0,4047251	-1,824262	8,46E+00	b5	f18
B5.R2.b6.f18.g1.p1.u3.y1	2,3191022	2,49E+00	0,8806131	3,24E-01	-0,4285975	-0,4553849	-1,935069	8,13E+00	b6	f18
R2.f2.g1.p1.u3.y1	2,0459718	8,94E-02	0,8187639	1,50E-01	-0,3373613	-0,3551171	-1,853767	2,08E+00	b0	f2
B1.R2.b1.f2.g1.p1.u3.y1	2,4221785	1,09E+00	0,8717665	3,95E-01	-0,4043607	-0,4256428	-2,029513	4,50E+00	b1	f2
B2.R2.b2.f2.g1.p1.u3.y1	1,0989116	9,18E-02	0,5562481	1,01E-01	-0,1404903	-0,1478845	-1,196274	1,74E+00	b2	f2
B4.R2.b5.f2.g1.p1.u3.y1	0,3579258	5,67E-02	0,6120085	8,69E-02	-0,1381818	-0,1454545	-1,186405	8,23E-01	b5	f2
B5.R2.b6.f2.g1.p1.u3.y1	0,9027526	7,93E-03	0,6500767	1,05E-01	-0,1753509	-0,1845799	-1,336477	1,18E+00	b6	f2
R2.f3.g1.p1.u3.y1	2,00107	1,66E-01	0,761898	1,75E-01	-0,2998248	-0,315605	-1,747597	2,68E+00	b0	f3
B1.R2.b1.f3.g1.p1.u3.y1	2,3644879	1,44E+00	0,8465726	4,41E-01	-0,3830953	-0,4032582	-1,975426	4,74E+00	b1	f3
B2.R2.b2.f3.g1.p1.u3.y1	1,1867425	2,84E-01	0,502231	1,09E-01	-0,1197297	-0,1260313	-1,104354	2,37E+00	b2	f3
B4.R2.b5.f3.g1.p1.u3.y1	0,4484183	1,29E-01	0,526422	9,00E-02	-0,1077942	-0,1134676	-1,047865	1,27E+00	b5	f3
B5.R2.b6.f3.g1.p1.u3.y1	0,9234204	1,95E-01	0,5647449	1,10E-01	-0,137913	-0,1451715	-1,18525	1,90E+00	b6	f3
R2.f4.g1.p1.u3.y1	2,2916281	6,83E-01	0,9516372	1,21E-01	-0,4387927	-0,4618871	-2,114157	1,69E+00	b0	f4
B1.R2.b1.f4.g1.p1.u3.y1	2,5659137	5,71E-01	0,9021813	3,18E-01	-0,4380576	-0,4611133	-2,112385	3,96E+00	b1	f4
B2.R2.b2.f4.g1.p1.u3.y1	4,2241817	1,55E+00	0,7067833	9,12E-02	-0,5060898	-0,5327261	-2,270499	1,84E+00	b2	f4
B4.R2.b5.f4.g1.p1.u3.y1	0,6460968	5,34E-01	0,8744699	9,04E-02	-0,2674433	-0,2815192	-1,650529	2,46E+00	b5	f4
B5.R2.b6.f4.g1.p1.u3.y1	1,2939409	4,76E-01	0,8537937	1,02E-01	-0,298959	-0,3146936	-1,745072	1,60E+00	b6	f4
R2.f5.g1.p1.u3.y1	2,2560854	3,39E-01	0,8743711	1,37E-01	-0,3896588	-0,4101671	-1,992277	1,70E+00	b0	f5
B1.R2.b1.f5.g1.p1.u3.y1	2,4997555	8,26E-01	0,8771773	3,53E-01	-0,4156135	-0,4374879	-2,057559	4,26E+00	b1	f5
B2.R2.b2.f5.g1.p1.u3.y1	1,1459866	4,80E-02	0,6635168	1,07E-01	-0,1929553	-0,2031108	-1,40196	1,40E+00	b2	f5
B4.R2.b5.f5.g1.p1.u3.y1	0,5283799	2,28E-01	0,6937035	8,72E-02	-0,1788438	-0,1882566	-1,349722	1,16E+00	b5	f5
B5.R2.b6.f5.g1.p1.u3.y1	1,0785093	1,80E-01	0,7348698	1,05E-01	-0,2246816	-0,236507	-1,512834	1,10E+00	b6	f5
R2.f6.g1.p1.u3.y1	2,0834966	2,80E-01	0,8811045	1,40E-01	-0,3775069	-0,3973757	-1,960965	1,65E+00	b0	f6
B1.R2.b1.f6.g1.p1.u3.y1	2,4242903	9,09E-01	0,8874822	3,68E-01	-0,414227	-0,4360285	-2,054124	4,32E+00	b1	f6
B2.R2.b2.f6.g1.p1.u3.y1	1,0660394	1,58E-02	0,616245	1,01E-01	-0,1666777	-0,1754502	-1,303005	1,37E+00	b2	f6
B4.R2.b5.f6.g1.p1.u3.y1	0,3182725	1,88E-01	0,7076702	8,93E-02	-0,1761064	-0,1853752	-1,339353	1,15E+00	b5	f6
B5.R2.b6.f6.g1.p1.u3.y1	0,9261413	1,44E-01	0,7327033	1,05E-01	-0,2154902	-0,2268318	-1,481567	1,09E+00	b6	f6
R2.f7.g1.p1.u3.y1	1,995564	7,31E-02	0,7985579	1,69E-01	-0,3211776	-0,3380817	-1,808756	2,48E+00	b0	f7
B1.R2.b1.f7.g1.p1.u3.y1	2,3466217	1,33E+00	0,853234	4,23E-01	-0,3854887	-0,4057776	-1,981588	4,66E+00	b1	f7
B2.R2.b2.f7.g1.p1.u3.y1	1,1228343	2,26E-01	0,5297396	1,09E-01	-0,1295845	-0,1364047	-1,148904	2,17E+00	b2	f7 
B4.R2.b5.f7.g1.p1.u3.y1	0,3440196	7,42E-02	0,5685269	9,13E-02	-0,1207607	-0,1271165	-1,109099	1,00E+00	b5	f7
B5.R2.b6.f7.g1.p1.u3.y1	0,8720602	1,29E-01	0,6031219	1,10E-01	-0,1528458	-0,1608904	-1,247769	1,65E+00	b6	f7
R2.f8.g1.p1.u3.y1	2,4667781	0,101807247	0,6640061	1,56E-01	-0,2747579	-0,2892188	-1,672948	2,86E+00	b0	f8
B1.R2.b1.f8.g1.p1.u3.y1	2,3398513	1,816244976	0,8296106	4,95E-01	-0,3702128	-0,3896977	-1,941928	4,95E+00	b1	f8
B2.R2.b2.f8.g1.p1.u3.y1	1,6547164	0,240931636	0,4572406	1,03E-01	-0,1148156	-0,1208586	-1,081454	2,57E+00	b2	f8
B4.R2.b5.f8.g1.p1.u3.y1	1,2563535	0,034734457	0,4886449	8,60E-02	-0,1160721	-0,1221811	-1,087355	1,55E+00	b5	f8
B5.R2.b6.f8.g1.p1.u3.y1	1,3974093	0,163001198	0,4835349	9,77E-02	-0,1183345	-0,1245626	-1,097901	2,11E+00	b6	f8
R2.f9.g1.p1.u3.y1	2,5553471	0,319761444	0,8434686	1,42E-01	-0,4000806	-0,4211375	-2,018744	2,05E+00	b0	f9
B1.R2.b1.f9.g1.p1.u3.y1	2,5975602	0,879792311	0,8637334	3,65E-01	-0,4173659	-0,4393325	-2,061892	4,37E+00	b1	f9
B2.R2.b2.f9.g1.p1.u3.y1	1,4577941	0,022115421	0,619977	1,07E-01	-0,1864279	-0,1962399	-1,378044	1,68E+00	b2	f9
B4.R2.b5.f9.g1.p1.u3.y1	0,6440236	0,177298945	0,6173663	8,20E-02	-0,1504258	-0,158343	-1,237852	9,19E-01	b5	f9
B5.R2.b6.f9.g1.p1.u3.y1	1,1634551	0,122230778	0,6456812	9,74E-02	-0,1850874	-0,1948289	-1,37308	1,05E+00	b6	f9

