	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	s	b	f
R2.g1.p1.u3.y1	2,0461152	1,02E-01	0,8575638	0,15624383	-0,36033099	-0,37929578	-1,9158357	2,0402197	s0	b0	f0
R2.g1.p1.s1.u3.y1	2,26140096	5,49E-01	0,7784053	0,10423019	-0,33119689	-0,3486283	-1,8367522	1,4118297	s1	b0	f0
B1.R2.b1.g1.p1.u3.y1	2,50758083	1,06E+00	0,8991416	0,41049166	-0,42999018	-0,45262125	-2,0928433	4,5078366	s0	b1	f0
B1.R2.b1.g1.p1.s1.u3.y1	2,63471299	3,23E-01	0,7968821	0,23645255	-0,37778825	-0,39767184	-1,9616958	3,5520563	s1	b1	f0
B2.R2.b2.g1.p1.u3.y1	1,15557684	1,05E-01	0,5898129	0,10981091	-0,1580625	-0,16638158	-1,2688839	1,8450668	s0	b2	f0
B2.R2.b2.g1.p1.s1.u3.y1	3,21922847	1,41E+00	1,0382919	0,11603454	-0,5976106	-0,62906379	-2,4672695	1,9221958	s1	b2	f0
B4.R2.b5.g1.p1.u3.y1	0,35474723	5,86E-02	0,7778706	0,11105698	-0,2079835	-0,21893	-1,4555324	1,0228945	s0	b5	f0
B4.R2.b5.g1.p1.s1.u3.y1	0,75512201	6,26E-01	0,5868119	5,73E-02	-0,1414326	-0,14887642	-1,200279	2,78E+00	s1	b5	f0
B6.R2.b7.g1.p1.u3.y1	0,48273826	2,33E-02	0,6702913	1,05E-01	-0,16684042	-0,1756215	-1,3036412	9,86E-01	s0	b7	f0
B6.R2.b7.g1.p1.s1.u3.y1	0,98024526	5,49E-01	0,5278759	5,57E-02	-0,12403963	-0,13056803	-1,1240553	2,12E+00	s1	b7	f0
R2.f10.g1.p1.u3.y1	2,29195046	4,94E-01	0,8868337	1,26E-01	-0,40062669	-0,4217123	-2,020121	1,63E+00	s0	b0	f10
R2.f10.g1.p1.s1.u3.y1	2,37182522	1,05E+00	0,8016837	8,32E-02	-0,35567505	-0,37439479	-1,9034179	2,39E+00	s1	b0	f10
B1.R2.b1.f10.g1.p1.u3.y1	2,73982909	5,83E-01	0,9116686	3,37E-01	-0,46313638	-0,48751198	-2,1720104	4,09E+00	s0	b1	f10
B1.R2.b1.f10.g1.p1.s1.u3.y1	2,68909882	7,20E-02	0,7992016	1,95E-01	-0,38481578	-0,40506925	-1,9798573	2,94E+00	s1	b1	f10
B2.R2.b2.f10.g1.p1.u3.y1	5,70464896	8,15E+00	0,9164976	9,83E-02	-0,93882851	-0,98824054	-3,092435	3,01E+00	s0	b2	f10
B2.R2.b2.f10.g1.p1.s1.u3.y1	6,53026764	1,16E+02	0,7687889	2,14E-02	-0,99129268	-1,04346597	-3,1776671	9,83E+00	s1	b2	f10
B4.R2.b5.f10.g1.p1.u3.y1	0,73082272	4,14E-01	0,8872128	1,01E-01	-0,27859263	-0,2932554	-1,6845824	1,80E+00	s0	b5	f10
B4.R2.b5.f10.g1.p1.s1.u3.y1	0,78943544	1,03E+00	0,6309673	4,96E-02	-0,16195414	-0,17047804	-1,2844094	5,00E+00	s1	b5	f10
B6.R2.b7.f10.g1.p1.u3.y1	0,88530441	3,17E-01	0,8074581	1,00E-01	-0,24946323	-0,26259288	-1,5940822	1,32E+00	s0	b7	f10
B6.R2.b7.f10.g1.p1.s1.u3.y1	0,96747768	9,16E-01	0,5596554	4,78E-02	-0,13725921	-0,14448337	-1,1824375	4,04E+00	s1	b7	f10
R2.f2.g1.p1.u3.y1	1,86334473	1,41E-01	0,8079868	1,78E-01	-0,31610955	-0,3327469	-1,7944289	2,51E+00	s0	b0	f2
R2.f2.g1.p1.s1.u3.y1	2,05215919	2,32E-01	0,7355927	1,18E-01	-0,2879771	-0,30313379	-1,7127202	1,65E+00	s1	b0	f2
B1.R2.b1.f2.g1.p1.u3.y1	2,38982605	1,42E+00	0,8888501	4,65E-01	-0,41156867	-0,43323018	-2,0475221	4,74E+00	s0	b1	f2
B1.R2.b1.f2.g1.p1.s1.u3.y1	2,60083327	5,22E-01	0,7939923	2,69E-01	-0,37252076	-0,39212711	-1,9479719	3,90E+00	s1	b1	f2
B2.R2.b2.f2.g1.p1.u3.y1	0,83051074	3,49E-01	0,5045702	1,09E-01	-0,10993743	-0,11572361	-1,0582304	2,32E+00	s0	b2	f2
B2.R2.b2.f2.g1.p1.s1.u3.y1	1,56184656	2,39E-01	0,4957758	7,15E-02	-0,1295507	-0,13636915	-1,1487548	1,01E+00	s1	b2	f2
B4.R2.b5.f2.g1.p1.u3.y1	0,11726246	1,62E-01	0,5955513	1,00E-01	-0,12430004	-0,13084215	-1,1252346	1,17E+00	s0	b5	f2
B4.R2.b5.f2.g1.p1.s1.u3.y1	0,81372929	4,04E-01	0,5045769	5,73E-02	-0,10946387	-0,11522512	-1,0559488	1,57E+00	s1	b5	f2
B6.R2.b7.f2.g1.p1.u3.y1	0,34437008	2,16E-01	0,5981264	1,09E-01	-0,13224247	-0,1392026	-1,1606277	1,56E+00	s0	b7	f2
B6.R2.b7.f2.g1.p1.s1.u3.y1	1,00102623	3,47E-01	0,5160655	6,28E-02	-0,11972694	-0,12602836	-1,1043415	1,24E+00	s1	b7	f2
R2.f3.g1.p1.u3.y1	1,82797424	4,21E-01	0,7576944	2,06E-01	-0,2843729	-0,29933989	-1,7019686	3,18E+00	s0	b0	f3
R2.f3.g1.p1.s1.u3.y1	2,0557888	5,34E-03	0,6944713	1,36E-01	-0,26349358	-0,27736167	-1,6382964	2,28E+00	s1	b0	f3
B1.R2.b1.f3.g1.p1.u3.y1	2,30223038	1,82E+00	0,8635511	5,14E-01	-0,38753365	-0,40793015	-1,9868366	4,94E+00	s0	b1	f3
B1.R2.b1.f3.g1.p1.s1.u3.y1	2,63672762	7,12E-01	0,7822836	3,00E-01	-0,36828947	-0,38767313	-1,9368773	4,20E+00	s1	b1	f3
