	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	r	y	b	f
B6.b7.f12.g1.r1.u3.y1	0,64964761	6,64E-02	0,6055211	1,01E-01	-0,14560238	-0,15326566	-1,2178441	1,21E+00	r1	y1  	b7	f12
f6.g1.r1.u3.y1	1,89126805	4,48E-02	0,8634847	1,61E-01	-0,35036001	-0,36880001	-1,8891425	2,04E+00	r1	y1	b0	f6
B1.b1.f6.g1.r1.u3.y1	2,42415953	1,20E+00	0,9065198	4,34E-01	-0,42578422	-0,44819392	-2,0825826	4,59E+00	r1	y1	b1	f6
B2.b2.f6.g1.r1.u3.y1	0,78801699	2,09E-01	0,5665999	1,09E-01	-0,13401432	-0,14106771	-1,1683771	1,91E+00	r1	y1	b2	f6
B4.b5.f6.g1.r1.u3.y1	0,0956617	2,19E-02	0,6947558	1,03E-01	-0,16211717	-0,17064965	-1,2850557	9,13E-01	r1	y1	b5	f6
B6.b7.f6.g1.r1.u3.y1	0,33429328	7,41E-02	0,6932724	1,12E-01	-0,17068032	-0,17966349	-1,3185578	1,06E+00	r1	y1	b7	f6
f7.g1.r1.u3.y1	1,82987036	2,77E-01	0,7923382	1,94E-01	-0,30448157	-0,32050692	-1,761116	2,82E+00	r1	y1	b0	f7
B1.b1.f7.g1.r1.u3.y1	2,30142637	1,67E+00	0,8728591	4,94E-01	-0,39311323	-0,4138034	-2,0010884	4,86E+00	r1	y1	b1	f7
B2.b2.f7.g1.r1.u3.y1	0,84718566	4,79E-01	0,4819242	1,14E-01	-0,10151833	-0,1068614	-1,0169033	2,64E+00	r1	y1	b2	f7
B4.b5.f7.g1.r1.u3.y1	0,10378269	2,83E-01	0,5596504	1,04E-01	-0,11077489	-0,11660515	-1,0622534	1,58E+00	r1	y1	b5	f7
B6.b7.f7.g1.r1.u3.y1	0,32791436	3,46E-01	0,5681744	1,14E-01	-0,12015466	-0,12647859	-1,1063123	1,95E+00	r1	y1	b7	f7
f8.g1.r1.u3.y1	2,22801016	3,78E-01	0,6626193	1,86E-01	-0,25622778	-0,26971345	-1,6155506	3,37E+00	r1	y1	b0	f8
B1.b1.f8.g1.r1.u3.y1	2,30356087	2,19E+00	0,8497638	5,72E-01	-0,37923264	-0,39919225	-1,9654423	5,11E+00	r1	y1	b1	f8
B2.b2.f8.g1.r1.u3.y1	1,38439728	5,19E-01	0,4156908	1,09E-01	-0,08926705	-0,09396531	-0,953571	3,10E+00	r1	y1	b2	f8
B4.b5.f8.g1.r1.u3.y1	0,90524624	2,90E-01	0,4557521	9,48E-02	-0,09299165	-0,09788595	-0,9732612	2,14E+00	r1	y1	b5	f8
B6.b7.f8.g1.r1.u3.y1	1,05542287	3,35E-01	0,4371397	9,61E-02	-0,08958439	-0,09429936	-0,9552644	2,40E+00	r1	y1	b7	f8
f9.g1.r1.u3.y1	2,51271042	1,72E-01	0,7747231	1,44E-01	-0,35141763	-0,36991329	-1,8919917	2,29E+00	r1	y1	b0	f9
B1.b1.f9.g1.r1.u3.y1	2,53155036	1,21E+00	0,8803529	4,32E-01	-0,42089304	-0,44304531	-2,0705862	4,65E+00	r1	y1	b1	f9
B2.b2.f9.g1.r1.u3.y1	1,96155233	1,98E-02	0,8259469	1,66E-01	-0,33451702	-0,35212318	-1,8459357	2,37E+00	r1	y1	b2	f9
B4.b5.f9.g1.r1.u3.y1	0,34593233	6,93E-02	0,6013639	9,63E-02	-0,13356704	-0,14059689	-1,1664258	9,95E-01	r1	y1	b5	f9
B6.b7.f9.g1.r1.u3.y1	0,60766373	1,02E-01	0,5628342	9,62E-02	-0,12655877	-0,13321975	-1,1354122	1,34E+00	r1	y1	b7	f9

