	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	c	b	f
B6.b7.c1.f7.g1.r1.u3.y1	1,72059	7,66E-01	0,784544	8,34E-02	-0,2918726	-0,3072343	-1,724265	2,02E+00	c1	b7	f7
B6.b7.c2.f7.g1.r1.u3.y1	1,895548	7,56E-01	0,8366021	9,28E-02	-0,3352488	-0,3528934	-1,847954	1,82E+00	c2	  b7	f7
B6.b7.c3.f7.g1.r1.u3.y1	2,015278	8,66E-01	0,8845671	9,49E-02	-0,3733383	-0,3929876	-1,950108	2,06E+00	c3	b7	f7
c1.f8.g1.r1.u3.y1	2,5647	2,78E-01	0,7239897	1,24E-01	-0,3226073	-0,3395866	-1,812778	2,14E+00	c1	b0	f8
c2.f8.g1.r1.u3.y1	2,679865	2,71E-01	0,753617	1,33E-01	-0,3532018	-0,3717914	-1,896788	2,30E+00	c2	b0	f8
c3.f8.g1.r1.u3.y1	2,805064	3,67E-01	0,7841652	1,33E-01	-0,3865877	-0,4069344	-1,98441	2,24E+00	c3	b0	f8
B1.b1.c1.f8.g1.r1.u3.y1	3,163531	3,15E-01	0,8802008	2,98E-01	-0,4934993	-0,5194729	-2,242078	3,94E+00	c1	b1	f8
B1.b1.c2.f8.g1.r1.u3.y1	3,257497	3,25E-01	0,8962445	3,14E-01	-0,5162705	-0,5434426	-2,293222	4,03E+00	c2	b1	f8
B1.b1.c3.f8.g1.r1.u3.y1	3,287044	2,45E-01	0,9131112	3,04E-01	-0,5312638	-0,5592251	-2,326283	3,90E+00	c3	b1	f8
B2.b2.c1.f8.g1.r1.u3.y1	2,508863	0,52841685	0,6393136	8,94E-02	-0,2617457	-0,2755218	-1,632854	1,48E+00	c1	b2	f8
B2.b2.c2.f8.g1.r1.u3.y1	2,617912	0,50013344	0,6815126	9,98E-02	-0,2986109	-0,3143273	-1,744055	1,64E+00	c2 	b2	f8
B2.b2.c3.f8.g1.r1.u3.y1	2,663207	0,57327156	0,7137713	1,01E-01	-0,3245139	-0,3415936	-1,818127	1,62E+00	c3	b2	f8
B4.b5.c1.f8.g1.r1.u3.y1	1,940618	0,7421252	0,6635926	7,35E-02	-0,2374708	-0,2499692	-1,555294	1,76E+00	c1	b5	f8
B4.b5.c2.f8.g1.r1.u3.y1	2,048552	0,70361208	0,7114215	8,26E-02	-0,2731628	-0,2875398	-1,668085	1,57E+00	c2	b5	f8
B4.b5.c3.f8.g1.r1.u3.y1	2,14588	0,81430925	0,7548886	8,42E-02	-0,3070177	-0,3231766	-1,768435	1,78E+00	c3	b5	f8
B6.b7.c1.f8.g1.r1.u3.y1	2,039846	0,68973125	0,6537004	7,59E-02	-0,2380591	-0,2505885	-1,55722	1,56E+00	c1	b7	f8
B6.b7.c2.f8.g1.r1.u3.y1	2,152414	0,65437114	0,7014131	8,53E-02	-0,2746983	-0,2891561	-1,672767	1,44E+00	c2	b7	f8
B6.b7.c3.f8.g1.r1.u3.y1	2,243098	0,75566611	0,7444554	8,73E-02	-0,3084476	-0,3246816	-1,772548	1,62E+00	c3	b7	f8
c1.f9.g1.r1.u3.y1	2,822365	0,93301851	0,8072001	9,77E-02	-0,4041398	-0,4254103	-2,028959	1,82E+00	c1	b0	f9
c2.f9.g1.r1.u3.y1	2,923034	0,92579808	0,8300194	1,04E-01	-0,4307509	-0,453422	-2,094694	1,79E+00	c2	b0	f9
c3.f9.g1.r1.u3.y1	3,083286	1,11857781	0,8912453	1,06E-01	-0,4907969	-0,5166283	-2,235931	1,94E+00	c3	b0	f9
B1.b1.c1.f9.g1.r1.u3.y1	3,230593	0,06089694	0,8905894	2,20E-01	-0,5090107	-0,5358007	-2,277041	3,07E+00	c1	b1	f9
B1.b1.c2.f9.g1.r1.u3.y1	3,321048	0,05352103	0,9046505	2,31E-01	-0,5302279	-0,5581347	-2,324014	3,18E+00	c2	b1	f9
B1.b1.c3.f9.g1.r1.u3.y1	3,354248	0,11737685	0,9224128	2,25E-01	-0,5463095	-0,5750626	-2,358994	3,02E+00	c3	b1	f9
B2.b2.c1.f9.g1.r1.u3.y1	2,532773	1,18395075	0,8782791	8,93E-02	-0,4197283	-0,4418192	-2,067719	2,40E+00	c1	b2	f9
B2.b2.c2.f9.g1.r1.u3.y1	3,182551	1,51283462	0,9679768	1,01E-01	-0,5520418	-0,5810967	-2,371338	2,40E+00	c2	b2	f9
B2.b2.c3.f9.g1.r1.u3.y1	3,361382	1,62461554	1,0393141	0,11099175	-0,6172067	-0,6496913	-2,507395	2,51E+00	c3	b2	f9
B4.b5.c1.f9.g1.r1.u3.y1	1,617649	1,14463774	0,7668496	0,06582827	-0,2746749	-0,2891315	-1,672696	3,85E+00	c1	b5	f9
B4.b5.c2.f9.g1.r1.u3.y1	1,826514	1,12325078	0,8338413	0,07549391	-0,3280383	-0,3453035	-1,827973	3,34E+00	c2	b5	f9
B4.b5.c3.f9.g1.r1.u3.y1	1,925017	1,27798471	0,8678018	0,07483259	-0,3557217	-0,3744439	-1,903543	3,84E+00	c3	b5	f9
B6.b7.c1.f9.g1.r1.u3.y1	1,787913	1,08519405	0,7430627	0,06743917	-0,273111	-0,2874852	-1,667927	3,27E+00	c1	b7	f9
B6.b7.c2.f9.g1.r1.u3.y1	1,941011	1,06255337	0,7926207	0,07512954	-0,3132961	-0,3297854	-1,786426	2,91E+00	c2	b7	f9
B6.b7.c3.f9.g1.r1.u3.y1	2,061839	1,2031312	0,8439003	0,07702609	-0,3536522	-0,3722654	-1,897997	3,27E+00	c3	b7	f9

