	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
B2.R2.b2.f2.g1.p1.u3.y1	1,3819177	1,05E-01	0,554318	0,14876311	-0,1905608	-0,2052193	-1,033124	1,7998817	b2	f2
B4.R2.b5.f2.g1.p1.u3.y1	0,5751941	1,05E-03	0,6169695	0,12706903	-0,1737901	-0,1871586	-0,986616	0,8136894	b5	f2
B5.R2.b6.f2.g1.p1.u3.y1	1,0772082	3,72E-02	0,6392254	0,15158198	-0,2173219	-0,2340389	-1,1032841	1,3812981	b6	f2
R2.f3.g1.p1.u3.y1	2,1535711	6,79E-02	0,6209283	0,19607295	-0,3047268	-0,3281673	-1,3064445	2,3339782	b0	f3
B1.R2.b1.f3.g1.p1.u3.y1	2,2291046	1,47E+00	0,8790814	0,68341356	-0,4994736	-0,5378947	-1,6725994	3,8723525	b1	f3
B2.R2.b2.f3.g1.p1.u3.y1	1,4174585	2,99E-01	0,4911758	0,15533772	-0,1567173	-0,1687725	-0,9369018	2,2408348	b2	f3
B4.R2.b5.f3.g1.p1.u3.y1	0,6223858	1,87E-01	0,5179336	0,1272914	-0,1300745	-0,1400802	-0,8535554	1,3551717	b5	f3
B5.R2.b6.f3.g1.p1.u3.y1	1,051967	2,51E-01	0,550505	0,15569573	-0,167575	-0,1804653	-0,9688135	1,8430703	b6	f3
R2.f4.g1.p1.u3.y1	2,1693204	7,00E-01	0,7224732	0,12827952	-0,3821461	-0,411542	-1,4630204	1,311221	b0	f4
B1.R2.b1.f4.g1.p1.u3.y1	2,3559931	6,60E-01	0,9527148	0,52543595	-0,5656439	-0,609155	-1,7799476	3,4044654	b1	f4
B2.R2.b2.f4.g1.p1.u3.y1	4,1123151	2,60E+00	0,6003008	0,10692579	-0,6579322	-0,7085423	-1,9196684	2,2458939	b2	f4
B4.R2.b5.f4.g1.p1.u3.y1	0,9697372	5,06E-01	0,8520686	0,12823898	-0,3266823	-0,3518117	-1,3526906	1,3072864	b5	f4
B5.R2.b6.f4.g1.p1.u3.y1	1,4274543	4,10E-01	0,808222	0,14389781	-0,3485197	-0,3753289	-1,3971702	1,0215362	b6  	f4
R2.f5.g1.p1.u3.y1	2,2492455	4,13E-01	0,674223	0,14621572	-0,3568955	-0,384349	-1,4138593	1,6231325	b0	f5
B1.R2.b1.f5.g1.p1.u3.y1	2,3156678	8,99E-01	0,9191767	0,56924551	-0,5386826	-0,5801197	-1,7370092	3,5832717	b1	f5
B2.R2.b2.f5.g1.p1.u3.y1	1,4375845	4,59E-02	0,6621956	0,15715304	-0,2599161	-0,2799096	-1,2065691	1,4950563	b2	f5
B4.R2.b5.f5.g1.p1.u3.y1	0,6729529	1,42E-01	0,6964185	0,12870965	-0,2192622	-0,2361285	-1,1081984	0,6688986	b5	f5
B5.R2.b6.f5.g1.p1.u3.y1	1,2422949	1,29E-01	0,7145799	0,15086894	-0,2739827	-0,2950583	-1,2387887	1,0885051	b6	f5
R2.f6.g1.p1.u3.y1	2,1168068	3,44E-01	0,6854275	0,15076424	-0,3481513	-0,3749321	-1,3964315	1,5488833	b0	f6
B1.R2.b1.f6.g1.p1.u3.y1	2,2773614	9,66E-01	0,9381475	0,59565403	-0,5441155	-0,5859705	-1,7457465	3,6114568	b1	f6
B2.R2.b2.f6.g1.p1.u3.y1	1,3825359	6,42E-03	0,6108772	0,14808654	-0,2240603	-0,2412957	-1,1202582	1,5495704	b2	f6 
B4.R2.b5.f6.g1.p1.u3.y1	0,5619627	1,26E-01	0,7093681	0,13016451	-0,218287	-0,2350783	-1,1057313	0,7063441	b5	f6
B5.R2.b6.f6.g1.p1.u3.y1	1,1256421	9,84E-02	0,7125579	0,15068736	-0,262611	-0,2828118	-1,2128081	1,0498216	b6	f6
R2.f7.g1.p1.u3.y1	2,1332629	1,35E-02	0,6437893	0,18747681	-0,3194166	-0,3439871	-1,3375634	2,0946928	b0	f7
B1.R2.b1.f7.g1.p1.u3.y1	2,2277458	1,36E+00	0,8926891	0,66431779	-0,5079955	-0,5470721	-1,6868078	3,819756	b1	f7
B2.R2.b2.f7.g1.p1.u3.y1	1,3837033	2,37E-01	0,5226073	0,15662737	-0,1724149	-0,1856775	-0,9827046	2,0757632	b2	f7
B4.R2.b5.f7.g1.p1.u3.y1	0,5439647	1,29E-01	0,5659091	0,13064234	-0,1482142	-0,1596153	-0,9111305	1,1636839	b5	f7
B5.R2.b6.f7.g1.p1.u3.y1	1,0321836	1,78E-01	0,5919017	0,15737205	-0,1883553	-0,2028442	-1,0271281	1,6708825	b6	f7
R2.f8.g1.p1.u3.y1	2,4216583	4,67E-02	0,5220989	0,17098665	-0,2575679	-0,2773808	-1,2011065	2,5363377	b0	f8
B1.R2.b1.f8.g1.p1.u3.y1	2,1862324	1,82E+00	0,8451824	0,73764166	-0,4706081	-0,5068087	-1,6235488	3,9978155	b1	f8
B2.R2.b2.f8.g1.p1.u3.y1	1,706647	2,81E-01	0,3982801	0,13148138	-0,1203791	-0,1296391	-0,8211288	2,4284226	b2	f8
B4.R2.b5.f8.g1.p1.u3.y1	1,228365	1,05E-01	0,4168146	0,10709461	-0,108819	-0,1171896	-0,7807067	1,5861261	b5	f8
B5.R2.b6.f8.g1.p1.u3.y1	1,3387602	2,54E-01	0,4176878	0,12465025	-0,1138496	-0,1226072	-0,7985486	2,0785805	b6	f8
R2.f9.g1.p1.u3.y1	2,5034041	4,32E-01	0,6330536	0,14491413	-0,3588278	-0,3864299	-1,4176816	1,8642841	b0	f9
B1.R2.b1.f9.g1.p1.u3.y1	2,3492797	9,77E-01	0,8971664	0,58262985	-0,5303036	-0,5710962	-1,7234471	3,6556456	b1	f9
B2.R2.b2.f9.g1.p1.u3.y1	1,6001991	2,49E-04	0,5372079	0,13679993	-0,1957575	-0,2108158	-1,0471161	1,7403759	b2	f9
B4.R2.b5.f9.g1.p1.u3.y1	0,8481969	1,20E-01	0,605166	0,11752603	-0,183819	-0,197959	-1,0146842	0,7390617	b5	f9
B5.R2.b6.f9.g1.p1.u3.y1	1,2704175	5,65E-02	0,6392603	0,14429696	-0,232026	-0,2498742	-1,1399978	1,3079936	b6	f9

