	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
R2.g1.p1.u3.y1	2,2442826	4,78E-01	0,6687147	0,13836728	-0,3520531	-0,3791341	-1,4042348	1,5447783	b0	f0
B1.R2.b1.g1.p1.u3.y1	2,3364937	8,35E-01	0,9266447	0,55882717	-0,5466864	-0,5887392	-1,749866	3,5450055	b1	f0
B2.R2.b2.g1.p1.u3.y1	1,7321738	1,55E-01	0,6125124	0,14043544	-0,2550205	-0,2746375	-1,1951522	1,4952541	b2	f0
B4.R2.b5.g1.p1.u3.y1	1,0001145	3,36E-01	0,7634328	0,12961763	-0,2805134	-0,3020914	-1,2534657	0,889338	b5 	f0
B5.R2.b6.g1.p1.u3.y1	1,2888391	1,90E-01	0,7261287	0,14723654	-0,2850816	-0,307011	-1,2636309	1,0139916	b6	f0
R2.f1.g1.p1.u3.y1	2,2196752	2,42E-01	0,6145603	0,14884006	-0,3076228	-0,3312861	-1,3126379	1,7054451	b0	f1
B1.R2.b1.f1.g1.p1.u3.y1	2,3132829	1,01E+00	0,9039643	0,58946209	-0,5287708	-0,5694455	-1,7209545	3,6572615	b1	f1
B2.R2.b2.f1.g1.p1.u3.y1	4,9727436	1,37E+01	0,572801	0,05050522	-0,8780802	-0,9456249	-2,2176998	4,8274615	b2	f1
B4.R2.b5.f1.g1.p1.u3.y1	1,7132559	4,99E-01	0,7682094	0,1375677	-0,3559498	-0,3833306	-1,4119849	1,0424692	b5	f1
B5.R2.b6.f1.g1.p1.u3.y1	1,2007568	3,54E-02	0,6613793	0,15026567	-0,2393504	-0,257762	-1,1578513	1,3000913	b6	f1
R2.f10.g1.p1.u3.y1	2,4078012	1,01E+00	0,7069838	0,11349296	-0,4043071	-0,4354076	-1,5048434	1,4807477	b0	f10
B1.R2.b1.f10.g1.p1.u3.y1	2,4456723	4,50E-01	0,9501553	0,47184364	-0,5790821	-0,6236269	-1,8009668	3,236669	b1	f10
B2.R2.b2.f10.g1.p1.u3.y1	4,8686191	4,19E+01	0,7359711	0,0776661	-0,9931103	-1,0695034	-2,3584919	3,730518	b2	 f10
B4.R2.b5.f10.g1.p1.u3.y1	1,3684543	8,38E-01	0,9019235	0,12241977	-0,3969968	-0,427535	-1,4911768	1,8218754	b5	f10
B5.R2.b6.f10.g1.p1.u3.y1	1,7972498	7,47E-01	0,8579999	0,13615835	-0,4238702	-0,4564756	-1,5408206	1,2892622	b6	f10
R2.f15.g1.p1.u3.y1	4,0341375	1,60E+00	0,799581	0,23097512	-0,8242651	-0,8876701	-2,1486669	3,1053474	b0	f15
B1.R2.b1.f15.g1.p1.u3.y1	3,6606834	8,35E-01	0,9116904	1,006546	-0,7963741	-0,8576337	-2,1120015	4,266869	b1	f15
B2.R2.b2.f15.g1.p1.u3.y1	3,6826829	4,15E-01	0,8244895	0,34084876	-0,7514697	-0,8092751	-2,0515939	3,3156792	b2	f15
B4.R2.b5.f15.g1.p1.u3.y1	3,3308642	5,79E-01	0,9503537	0,3011579	-0,7461769	-0,8035752	-2,0443562	2,7139443	b5	f15
B5.R2.b6.f15.g1.p1.u3.y1	3,5150423	5,59E-01	0,9109652	0,32030415	-0,7642399	-0,8230276	-2,0689524	2,9572957	b6	f15
R2.f16.g1.p1.u3.y1	3,0976399	1,31E-01	0,7642257	0,36296792	-0,5726601	-0,6167108	-1,7909526	3,3164315	b0	f16
B1.R2.b1.f16.g1.p1.u3.y1	3,179297	2,03E+00	0,9104671	1,26041488	-0,6927219	-0,7460082	-1,9697681	4,3935945	b1	f16
B2.R2.b2.f16.g1.p1.u3.y1	2,6530588	6,73E-01	0,7665618	0,45482434	-0,4900384	-0,5277336	-1,656726	3,5941591	b2	f16
B4.R2.b5.f16.g1.p1.u3.y1	1,9497739	5,58E-01	0,8963941	0,4057702	-0,4687522	-0,50481	-1,6203442	3,038993	b5	f16
B5.R2.b6.f16.g1.p1.u3.y1	2,2811988	5,94E-01	0,8714381	0,44446319	-0,5026921	-0,5413607	-1,6779796	3,2915726	b6	f16
R2.f17.g1.p1.u3.y1	3,101514	1,24E-01	0,7643463	0,36150916	-0,5735609	-0,617681	-1,7923608	3,3100127	b0	f17
B1.R2.b1.f17.g1.p1.u3.y1	3,1802463	2,02E+00	0,9098932	1,25527953	-0,6925749	-0,7458499	-1,9695592	4,3916657	b1	f17
B2.R2.b2.f17.g1.p1.u3.y1	2,6582548	6,62E-01	0,7663915	0,45263144	-0,4908102	-0,5285648	-1,6580302	3,5883374	b2	f17
B4.R2.b5.f17.g1.p1.u3.y1	1,9531674	5,52E-01	0,8959234	0,40461055	-0,4689448	-0,5050175	-1,6206772	3,0348211	b5	f17
B5.R2.b6.f17.g1.p1.u3.y1	2,2829626	5,90E-01	0,871055	0,44349502	-0,5027206	-0,5413915	-1,6780273	3,2888704	b6	f17
R2.f18.g1.p1.u3.y1	3,1029034	1,24E-01	0,764083	0,361499	-0,5736358	-0,6177616	-1,7924777	3,3109444	b0	f18
B1.R2.b1.f18.g1.p1.u3.y1	3,1819537	2,01E+00	0,9096445	1,25521079	-0,6927785	-0,7460691	-1,9698486	4,3919119	b1	f18
B2.R2.b2.f18.g1.p1.u3.y1	2,6603871	6,62E-01	0,7658816	0,45258826	-0,4907883	-0,5285413	-1,6579932	3,5895476	b2	f18
B4.R2.b5.f18.g1.p1.u3.y1	1,9554515	5,53E-01	0,8949092	0,40447376	-0,4686424	-0,5046919	-1,6201546	3,0368186	b5	f18
B5.R2.b6.f18.g1.p1.u3.y1	2,2842173	5,90E-01	0,870869	0,44347637	-0,5027977	-0,5414744	-1,6781558	3,2893253	b6	f18
R2.f2.g1.p1.u3.y1	2,1409185	1,65E-01	0,6499795	0,16510934	-0,324942	-0,3499376	-1,3490827	1,7950579	b0	f2
B1.R2.b1.f2.g1.p1.u3.y1	2,2633534	1,15E+00	0,914151	0,62838655	-0,5271444	-0,567694	-1,7183058	3,7207988	b1	f2
