	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	p	r	R	b	f
B1.b1.f4.g1.r1.u3.y1	2,56184252	8,38E-01	0,9192114	3,80E-01	-0,44804427	-0,47162555	-2,1363279	4,31E+00	p0	r1	R0	b1	f4
B2.b2.f4.g1.r1.u3.y1	5,89131248	1,22E+01	1,004933	1,10E-01	-0,97575262	-1,02710802	-3,1526613	2,80E+00	p0	r1	R0	b2	f4
B3.b3.f4.g1.r1.u3.y1	1,07185459	1,72E-01	0,8008471	1,15E-01	-0,25728497	-0,27082628	-1,61888	1,24E+00	p0	r1	R0	b3	f4
B7.b4.f4.g1.r1.u3.y1	1,11816894	1,47E-01	0,8387438	1,25E-01	-0,27934231	-0,29404454	-1,6868475	1,37E+00	p0	r1	R0	b4	f4
B4.b5.f4.g1.r1.u3.y1	0,55522502	2,53E-01	0,8628586	1,08E-01	-0,25675734	-0,27027089	-1,6172192	1,34E+00	p0	r1	R0	b5	f4
B5.b6.f4.g1.r1.u3.y1	0,98891025	1,59E-01	0,8122167	1,17E-01	-0,25793082	-0,27150613	-1,6209106	1,21E+00	p0	r1	R0	b6	f4
B6.b7.f4.g1.r1.u3.y1	0,54655392	1,36E-01	0,7907373	1,08E-01	-0,22314157	-0,23488587	-1,5076401	1,08E+00	p0	r1	R0	b7	f4
f5.g1.r1.u3.y1	2,11702475	9,90E-02	0,857912	1,59E-01	-0,36687375	-0,3861829	-1,933151	2,12E+00	p0	r1	R0	b0	f5
B1.b1.f5.g1.r1.u3.y1	2,45309549	1,13E+00	0,8953629	4,18E-01	-0,42199655	-0,4442069	-2,0732988	4,55E+00	p0	r1	R0	b1	f5
B2.b2.f5.g1.r1.u3.y1	1,37807309	9,59E-02	0,5575953	1,06E-01	-0,15190015	-0,15989489	-1,2439031	1,98E+00	p0	r1	R0	b2	f5
B3.b3.f5.g1.r1.u3.y1	3,96002618	9,98E-01	0,7469511	1,15E-01	-0,50197777	-0,52839766	-2,2612558	1,88E+00	p0	r1	R0	b3	f5
B7.b4.f5.g1.r1.u3.y1	0,9378696	6,28E-02	0,7415559	1,30E-01	-0,22038073	-0,23197971	-1,4982844	1,48E+00	p0	r1	R0	b4	f5
B4.b5.f5.g1.r1.u3.y1	2,47179814	4,64E-01	0,908596	1,37E-01	-0,43199769	-0,45473441	-2,0977231	1,30E+00	p0	r1	R0	b5	f5
B5.b6.f5.g1.r1.u3.y1	0,83404351	4,51E-02	0,7098803	1,20E-01	-0,20002345	-0,210551	-1,4274073	1,34E+00	p0	r1	R0	b6	f5
B6.b7.f5.g1.r1.u3.y1	0,45466643	5,29E-02	0,6788042	1,09E-01	-0,16935846	-0,17827207	-1,313442	1,06E+00	p0	r1	R0	b7	f5
f6.g1.r1.u3.y1	1,89126805	4,48E-02	0,8634847	1,61E-01	-0,35036001	-0,36880001	-1,8891425	2,04E+00	p0	r1	R0	b0	f6
B1.b1.f6.g1.r1.u3.y1	2,42415953	1,20E+00	0,9065198	4,34E-01	-0,42578422	-0,44819392	-2,0825826	4,59E+00	p0	r1	R0	b1	f6
B2.b2.f6.g1.r1.u3.y1	0,78801699	2,09E-01	0,5665999	1,09E-01	-0,13401432	-0,14106771	-1,1683771	1,91E+00	p0	r1	R0	b2	f6
B3.b3.f6.g1.r1.u3.y1	0,8327783	5,23E-02	0,7007054	1,19E-01	-0,19567006	-0,20596848	-1,4117885	1,35E+00	p0	r1	R0	b3	f6
B7.b4.f6.g1.r1.u3.y1	0,86083902	7,48E-02	0,7505921	1,31E-01	-0,22066366	-0,23227754	-1,4992459	1,46E+00	p0	r1	R0	b4	f6
B4.b5.f6.g1.r1.u3.y1	0,0956617	2,19E-02	0,6947558	1,03E-01	-0,16211717	-0,17064965	-1,2850557	9,13E-01	p0	r1	R0	b5	f6
B5.b6.f6.g1.r1.u3.y1	0,72616044	6,66E-02	0,7129633	1,21E-01	-0,1963143	-0,20664663	-1,4141107	1,33E+00	p0	r1	R0	b6	f6
B6.b7.f6.g1.r1.u3.y1	0,33429328	7,41E-02	0,6932724	1,12E-01	-0,17068032	-0,17966349	-1,3185578	1,06E+00	p0	r1	R0	b7	f6
f7.g1.r1.u3.y1	1,82987036	2,77E-01	0,7923382	0,1938226	-0,30448157	-0,32050692	-1,761116	2,82E+00	p0	r1	R0	b0	f7
B1.b1.f7.g1.r1.u3.y1	2,30142637	1,67E+00	0,8728591	0,49381875	-0,39311323	-0,4138034	-2,0010884	4,86E+00	p0	r1	R0	b1	f7
B2.b2.f7.g1.r1.u3.y1	0,84718566	4,79E-01	0,4819242	0,11407732	-0,10151833	-0,1068614	-1,0169033	2,64E+00	p0	r1	R0	b2	f7
B3.b3.f7.g1.r1.u3.y1	0,76419604	3,39E-01	0,5699695	0,12117093	-0,1346227	-0,1417081	-1,1710262	2,22E+00	p0	r1	R0	b3	f7
B7.b4.f7.g1.r1.u3.y1	0,74340594	3,76E-01	0,6234535	0,1361726	-0,1568227	-0,16507653	-1,2638977	2,30E+00	p0	r1	R0	b4	f7
B4.b5.f7.g1.r1.u3.y1	0,10378269	2,83E-01	0,5596504	0,10385036	-0,11077489	-0,11660515	-1,0622534	1,58E+00	p0	r1	R0	b5	f7
B5.b6.f7.g1.r1.u3.y1	0,67319914	3,49E-01	0,5935092	0,12554814	-0,14137435	-0,14881511	-1,2000318	2,19E+00	p0	r1	R0	b6	f7
B6.b7.f7.g1.r1.u3.y1	0,32791436	3,46E-01	0,5681744	0,11407745	-0,12015466	-0,12647859	-1,1063123	1,95E+00	p0	r1	R0	b7	f7
f8.g1.r1.u3.y1	2,22801016	3,78E-01	0,6626193	0,1855842	-0,25622778	-0,26971345	-1,6155506	3,37E+00	p0	r1	R0	b0	f8
B1.b1.f8.g1.r1.u3.y1	2,30356087	2,19E+00	0,8497638	0,57248347	-0,37923264	-0,39919225	-1,9654423	5,11E+00	p0	r1	R0	b1	f8
B2.b2.f8.g1.r1.u3.y1	1,38439728	5,19E-01	0,4156908	0,10913633	-0,08926705	-0,09396531	-0,953571	3,10E+00	p0	r1	R0	b2	f8
B3.b3.f8.g1.r1.u3.y1	1,17121798	4,28E-01	0,4115095	0,09828215	-0,08259071	-0,08693759	-0,917219	2,74E+00	p0	r1	R0	b3	f8
