	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	p	r	R	b	f
B6.R2.b7.f10.g1.p1.u3.y1	0,88530441	3,17E-01	0,8074581	0,10042848	-0,24946323	-0,26259288	-1,5940822	1,32E+00	p1	r0	R2	b7	f10
R2.f2.g1.p1.u3.y1	1,86334473	1,41E-01	0,8079868	0,17793311	-0,31610955	-0,3327469	-1,7944289	2,51E+00	p1	r0	R2	b0	f2
B1.R2.b1.f2.g1.p1.u3.y1	2,38982605	1,42E+00	0,8888501	0,46520825	-0,41156867	-0,43323018	-2,0475221	4,74E+00	p1	r0	R2	b1	f2
B2.R2.b2.f2.g1.p1.u3.y1	0,83051074	3,49E-01	0,5045702	0,10873101	-0,10993743	-0,11572361	-1,0582304	2,32E+00	p1	r0	R2	b2	f2
B3.R2.b3.f2.g1.p1.u3.y1	0,78574183	2,07E-01	0,6075702	0,11698607	-0,1515051	-0,15947905	-1,2422845	1,86E+00	p1	r0	R2	b3	f2
B7.R2.b4.f2.g1.p1.u3.y1	0,78537203	2,38E-01	0,6607416	0,13087878	-0,17514421	-0,18436232	-1,335689	1,95E+00	p1	r0	R2	b4	f2
B4.R2.b5.f2.g1.p1.u3.y1	0,11726246	1,62E-01	0,5955513	0,10042294	-0,12430004	-0,13084215	-1,1252346	1,17E+00	p1	r0	R2	b5	f2
B5.R2.b6.f2.g1.p1.u3.y1	0,70386215	2,19E-01	0,6336614	0,12194158	-0,15974293	-0,16815045	-1,275611	1,84E+00	p1	r0	R2	b6	f2
B6.R2.b7.f2.g1.p1.u3.y1	0,34437008	2,16E-01	0,5981264	0,1089279	-0,13224247	-0,1392026	-1,1606277	1,56E+00	p1	r0	R2	b7	f2
R2.f3.g1.p1.u3.y1	1,82797424	4,21E-01	0,7576944	0,20556479	-0,2843729	-0,29933989	-1,7019686	3,18E+00	p1	r0	R2	b0	f3
B1.R2.b1.f3.g1.p1.u3.y1	2,30223038	1,82E+00	0,8635511	0,51442316	-0,38753365	-0,40793015	-1,9868366	4,94E+00	p1	r0	R2	b1	f3
B2.R2.b2.f3.g1.p1.u3.y1	0,91870312	5,67E-01	0,4518729	0,11430727	-0,0918569	-0,09669147	-0,9673048	2,90E+00	p1	r0	R2	b2	f3
B3.R2.b3.f3.g1.p1.u3.y1	0,79637332	4,39E-01	0,5168834	0,11830402	-0,11385766	-0,11985017	-1,0769327	2,50E+00	p1	r0	R2	b3	f3
B7.R2.b4.f3.g1.p1.u3.y1	0,75251415	0,48392224	0,5699	0,13402842	-0,13419737	-0,14126039	-1,1691748	2,5924732	p1	r0	R2	b4	f3
B4.R2.b5.f3.g1.p1.u3.y1	0,19063896	3,71E-01	0,5093816	0,10202736	-0,09524946	-0,10026259	-0,9850056	1,9001641	p1	r0	R2	b5	f3
B5.R2.b6.f3.g1.p1.u3.y1	0,71697663	4,48E-01	0,5531663	0,12620046	-0,12610379	-0,13274083	-1,1333695	2,4739219	p1	r0	R2	b6	f3
B6.R2.b7.f3.g1.p1.u3.y1	0,39841709	4,34E-01	0,5160177	0,11126894	-0,102654	-0,10805684	-1,0225755	2,2161668	p1	r0	R2	b7	f3
R2.f4.g1.p1.u3.y1	2,00597761	2,74E-01	0,9243912	0,14564413	-0,39532478	-0,41613135	-2,0067093	1,615954	p1	r0	R2	b0	f4
B1.R2.b1.f4.g1.p1.u3.y1	2,54197437	8,63E-01	0,9164858	0,38206235	-0,4442422	-0,46762337	-2,1272442	4,3263273	p1	r0	R2	b1	f4
B2.R2.b2.f4.g1.p1.u3.y1	4,26183442	1,13E+00	0,7007644	0,10918008	-0,50627146	-0,53291732	-2,2709061	2,1567158	p1	r0	R2	b2	f4
B3.R2.b3.f4.g1.p1.u3.y1	0,97099567	1,35E-01	0,8077564	0,11817486	-0,25465009	-0,26805273	-1,6105691	1,2140498	p1	r0	R2	b3	f4
B7.R2.b4.f4.g1.p1.u3.y1	1,08250318	1,15E-01	0,8273944	0,12551039	-0,27130978	-0,28558924	-1,6624178	1,347591	p1	r0	R2	b4	f4
B4.R2.b5.f4.g1.p1.u3.y1	0,34364308	1,97E-01	0,8425847	0,10649666	-0,23605167	-0,24847545	-1,55064	1,2930501	p1	r0	R2	b5	f4
B5.R2.b6.f4.g1.p1.u3.y1	0,95908945	1,29E-01	0,8019146	0,11764889	-0,2510643	-0,26427821	-1,5991895	1,1997261	p1	r0	R2	b6	f4
B6.R2.b7.f4.g1.p1.u3.y1	0,53589312	1,10E-01	0,775536	0,10838651	-0,21569362	-0,22704592	-1,4822658	1,0558393	p1	r0	R2	b7	f4
R2.f5.g1.p1.u3.y1	2,02797177	4,86E-02	0,857389	0,16359765	-0,35862934	-0,37750457	-1,9113066	2,1779488	p1	r0	R2	b0	f5
B1.R2.b1.f5.g1.p1.u3.y1	2,43638458	1,16E+00	0,8924842	0,42021517	-0,41851889	-0,4405462	-2,0647381	4,5612982	p1	r0	R2	b1	f5
B2.R2.b2.f5.g1.p1.u3.y1	0,81068996	2,07E-01	0,6065186	0,11723164	-0,15199231	-0,15999191	-1,2442804	1,9259314	p1	r0	R2	b2	f5
B3.R2.b3.f5.g1.p1.u3.y1	0,88348092	6,19E-02	0,6967557	0,12036822	-0,19623431	-0,20656244	-1,4138226	1,4295234	p1	r0	R2	b3	f5
B7.R2.b4.f5.g1.p1.u3.y1	0,91433497	8,92E-02	0,7310127	0,13040476	-0,21406563	-0,22533224	-1,4766614	1,556282	p1	r0	R2	b4	f5
B4.R2.b5.f5.g1.p1.u3.y1	0,23711963	2,21E-02	0,6611906	0,09995118	-0,15376163	-0,16185435	-1,2515017	0,8641206	p1	r0	R2	b5	f5
B5.R2.b6.f5.g1.p1.u3.y1	0,81728909	6,94E-02	0,7014267	0,12085546	-0,19527273	-0,20555024	-1,4103544	1,4158976	p1	r0	R2	b6	f5
B6.R2.b7.f5.g1.p1.u3.y1	0,43477007	7,71E-02	0,6690268	0,10960664	-0,16441315	-0,17306648	-1,2941235	1,1282558	p1	r0	R2	b7	f5
R2.f6.g1.p1.u3.y1	1,88505971	1,30E-02	0,8612027	0,16564588	-0,34852727	-0,36687081	-1,8841949	2,1282961	p1	r0	R2	b0	f6
B1.R2.b1.f6.g1.p1.u3.y1	2,40726795	1,22E+00	0,9037319	0,43611715	-0,42236231	-0,44459191	-2,0741971	4,6010632	p1	r0	R2	b1	f6
B2.R2.b2.f6.g1.p1.u3.y1	0,78268545	2,30E-01	0,5588823	0,10939855	-0,13060003	-0,13747372	-1,1533977	1,9692306	p1	r0	R2	b2	f6
B3.R2.b3.f6.g1.p1.u3.y1	0,81177656	7,64E-02	0,6890669	0,11931747	-0,18928111	-0,19924328	-1,3885486	1,4158405	p1	r0	R2	b3	f6
B7.R2.b4.f6.g1.p1.u3.y1	0,83749479	1,00E-01	0,7404511	0,13193614	-0,21462047	-0,22591628	-1,4785738	1,5232157	p1	r0	R2	b4	f6
B4.R2.b5.f6.g1.p1.u3.y1	0,07717006	4,42E-02	0,6840824	0,10345279	-0,15717647	-0,16544892	-1,2653225	0,9136269	p1	r0	R2	b5	f6
B5.R2.b6.f6.g1.p1.u3.y1	0,71068497	9,00E-02	0,7047869	0,12183329	-0,19185079	-0,2019482	-1,3979423	1,3974041	p1	r0	R2	b6	f6
B6.R2.b7.f6.g1.p1.u3.y1	0,31722683	9,74E-02	0,683646	0,11230853	-0,16597746	-0,17471311	-1,3002654	1,1169151	p1	r0	R2	b7	f6
R2.f7.g1.p1.u3.y1	1,82259471	3,15E-01	0,7908717	0,19898936	-0,3030828	-0,31903452	-1,7570661	2,9185297	p1	r0	R2	b0	f7
B1.R2.b1.f7.g1.p1.u3.y1	2,28889943	1,70E+00	0,8701148	0,49566321	-0,39023915	-0,41077806	-1,9937599	4,8744025	p1	r0	R2	b1	f7
B2.R2.b2.f7.g1.p1.u3.y1	0,85101273	5,02E-01	0,4775482	0,11483138	-0,09993041	-0,10518991	-1,008919	2,7042953	p1	r0	R2	b2	f7
B3.R2.b3.f7.g1.p1.u3.y1	0,6755077	3,98E-01	0,6101395	0,13394277	-0,14850395	-0,15631995	-1,2299188	2,3252992	p1	r0	R2	b3	f7
B7.R2.b4.f7.g1.p1.u3.y1	0,73334064	4,04E-01	0,6158205	0,13693351	-0,15310905	-0,16116743	-1,2488431	2,3655659	p1	r0	R2	b4	f7
B4.R2.b5.f7.g1.p1.u3.y1	0,09833313	3,06E-01	0,5526039	0,1043451	-0,10811525	-0,11380552	-1,0494238	1,6539157	p1	r0	R2	b5	f7
B5.R2.b6.f7.g1.p1.u3.y1	0,66930054	3,74E-01	5,89E-01	0,12673656	-0,13919993	-0,14652625	-1,1907675	2,2560305	p1	r0	R2	b6	f7
B6.R2.b7.f7.g1.p1.u3.y1	0,32226527	3,70E-01	5,62E-01	0,11471287	-0,11747799	-0,12366104	-1,0939203	2,0108906	p1	r0	R2	b7	f7
R2.f8.g1.p1.u3.y1	2,22759462	3,78E-01	6,62E-01	0,18555655	-0,2561089	-0,26958832	-1,6151757	3,3716807	p1	r0	R2	b0	f8
B1.R2.b1.f8.g1.p1.u3.y1	2,30325628	2,19E+00	8,50E-01	0,57231981	-0,37909146	-0,39904364	-1,9650764	5,1131656	p1	r0	R2	b1	f8
B2.R2.b2.f8.g1.p1.u3.y1	1,38478627	5,19E-01	4,16E-01	0,10913619	-0,08928523	-0,09398446	-0,9536681	3,0971952	p1	r0	R2	b2	f8
B3.R2.b3.f8.g1.p1.u3.y1	1,17160198	4,28E-01	4,12E-01	0,09827867	-0,08260277	-0,08695028	-0,917286	2,7361213	p1	r0	R2	b3	f8
B7.R2.b4.f8.g1.p1.u3.y1	1,07193604	4,86E-01	4,42E-01	0,10851083	-0,09202503	-0,09686845	-0,9681896	2,8120429	p1	r0	R2	b4	f8
B4.R2.b5.f8.g1.p1.u3.y1	0,90569869	2,90E-01	4,56E-01	0,09478697	-0,09300732	-0,09790244	-0,9733432	2,1404239	p1	r0	R2	b5	f8
B5.R2.b6.f8.g1.p1.u3.y1	1,12416303	4,33E-01	4,65E-01	0,111128	-0,10248514	-0,10787909	-1,0217341	2,717935	p1	r0	R2	b6	f8
B6.R2.b7.f8.g1.p1.u3.y1	1,05593076	3,35E-01	4,37E-01	0,09609399	-0,08961792	-0,09433465	-0,9554432	2,3956668	p1	r0	R2	b7	f8
R2.f9.g1.p1.u3.y1	2,3164131	3,14E-02	8,42E-01	0,17244396	-0,37542123	-0,39518024	-1,9555407	2,4994367	p1	r0	R2	b0	f9
B1.R2.b1.f9.g1.p1.u3.y1	2,53123883	1,21E+00	8,80E-01	0,43242528	-0,42079523	-0,44294235	-2,0703456	4,6476131	p1	r0	R2	b1	f9
B2.R2.b2.f9.g1.p1.u3.y1	1,16341181	2,30E-01	5,80E-01	0,12031769	-0,15389163	-0,16199118	-1,2520306	2,241427	p1	r0	R2	b2	f9
B3.R2.b3.f9.g1.p1.u3.y1	1,28003805	6,22E-02	5,68E-01	0,1035153	-0,15287105	-0,16091689	-1,2478721	1,7452081	p1	r0	R2	b3	f9
B7.R2.b4.f9.g1.p1.u3.y1	0,95214573	1,43E-01	6,31E-01	0,11821809	-0,16888455	-0,17777321	-1,311603	1,7742884	p1	r0	R2	b4	f9
B4.R2.b5.f9.g1.p1.u3.y1	0,34597859	6,44E-02	5,97E-01	0,09517251	-0,13187284	-0,13881352	-1,1590045	0,9890382	p1	r0	R2	b5	f9
B5.R2.b6.f9.g1.p1.u3.y1	0,91482786	1,17E-01	6,24E-01	0,11349849	-0,16388086	-0,17250617	-1,2920269	1,6679269	p1	r0	R2	b6	f9
B6.R2.b7.f9.g1.p1.u3.y1	0,60768007	1,02E-01	5,63E-01	0,09619447	-0,12643547	-0,13308997	-1,134859	1,33718	p1	r0	R2	b7	f9

