	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	R	y	b	f
B4.b5.f9.g1.p1.u3	6,55471494	2,02E+01	0,7089948	6,14E-02	-0,96331472	-1,0140155	-3,1325034	3,61E+00	R0	y0	b5	f9
B6.b7.f9.g1.p1.u3	0,60639453	1,02E-01	0,5626522	9,62E-02	-0,12644543	-0,13310046	-1,1349037	1,34E+00	R0	y0	b7	f9
R2.g1.p1.u3.y1	2,0461152	1,02E-01	0,8575638	1,56E-01	-0,36033099	-0,37929578	-1,9158357	2,04E+00	R2	y1	b0	f0
B1.R2.b1.g1.p1.u3.y1	2,50758083	1,06E+00	0,8991416	4,10E-01	-0,42999018	-0,45262125	-2,0928433	4,51E+00	R2	y1	b1	f0
B2.R2.b2.g1.p1.u3.y1	1,15557684	1,05E-01	0,5898129	1,10E-01	-0,1580625	-0,16638158	-1,2688839	1,85E+00	R2	y1	b2	 f0
B4.R2.b5.g1.p1.u3.y1	0,35474723	5,86E-02	0,7778706	1,11E-01	-0,2079835	-0,21893	-1,4555324	1,02E+00	R2	y1	b5	f0
B6.R2.b7.g1.p1.u3.y1	0,48273826	2,33E-02	0,6702913	1,05E-01	-0,16684042	-0,1756215	-1,3036412	9,86E-01	R2	y1	b7	f0
R2.f10.g1.p1.u3.y1	2,29195046	4,94E-01	0,8868337	1,26E-01	-0,40062669	-0,4217123	-2,020121	1,63E+00	R2	y1	b0	f10
B1.R2.b1.f10.g1.p1.u3.y1	2,73982909	5,83E-01	0,9116686	3,37E-01	-0,46313638	-0,48751198	-2,1720104	4,09E+00	R2	y1	b1	f10
B2.R2.b2.f10.g1.p1.u3.y1	5,70464896	8,15E+00	0,9164976	9,83E-02	-0,93882851	-0,98824054	-3,092435	3,01E+00	R2	y1	b2	f10
B4.R2.b5.f10.g1.p1.u3.y1	0,73082272	4,14E-01	0,8872128	1,01E-01	-0,27859263	-0,2932554	-1,6845824	1,80E+00	R2	y1	b5	f10
B6.R2.b7.f10.g1.p1.u3.y1	0,88530441	3,17E-01	0,8074581	1,00E-01	-0,24946323	-0,26259288	-1,5940822	1,32E+00	R2	y1	b7	f10
R2.f2.g1.p1.u3.y1	1,86334473	1,41E-01	0,8079868	1,78E-01	-0,31610955	-0,3327469	-1,7944289	2,51E+00	R2	y1	b0	f2
B1.R2.b1.f2.g1.p1.u3.y1	2,38982605	1,42E+00	0,8888501	4,65E-01	-0,41156867	-0,43323018	-2,0475221	4,74E+00	R2	y1	b1  	f2
B2.R2.b2.f2.g1.p1.u3.y1	0,83051074	3,49E-01	0,5045702	1,09E-01	-0,10993743	-0,11572361	-1,0582304	2,32E+00	R2	y1	b2	f2
B4.R2.b5.f2.g1.p1.u3.y1	0,11726246	1,62E-01	0,5955513	1,00E-01	-0,12430004	-0,13084215	-1,1252346	1,17E+00	R2	y1	b5	f2
B6.R2.b7.f2.g1.p1.u3.y1	0,34437008	2,16E-01	0,5981264	1,09E-01	-0,13224247	-0,1392026	-1,1606277	1,56E+00	R2	y1	b7	f2
R2.f3.g1.p1.u3.y1	1,82797424	4,21E-01	0,7576944	2,06E-01	-0,2843729	-0,29933989	-1,7019686	3,18E+00	R2 	y1	b0	f3
B1.R2.b1.f3.g1.p1.u3.y1	2,30223038	1,82E+00	0,8635511	5,14E-01	-0,38753365	-0,40793015	-1,9868366	4,94E+00	R2	y1	b1	f3
B2.R2.b2.f3.g1.p1.u3.y1	0,91870312	5,67E-01	0,4518729	1,14E-01	-0,0918569	-0,09669147	-0,9673048	2,90E+00	R2	y1	b2	f3
B4.R2.b5.f3.g1.p1.u3.y1	0,19063896	3,71E-01	0,5093816	1,02E-01	-0,09524946	-0,10026259	-0,9850056	1,90E+00	R2	y1	b5	f3
B6.R2.b7.f3.g1.p1.u3.y1	0,39841709	4,34E-01	0,5160177	1,11E-01	-0,102654	-0,10805684	-1,0225755	2,22E+00	R2	y1	b7	f3
R2.f6.g1.p1.u3.y1	1,88505971	1,30E-02	0,8612027	1,66E-01	-0,34852727	-0,36687081	-1,8841949	2,13E+00	R2	y1	b0	f6
B1.R2.b1.f6.g1.p1.u3.y1	2,40726795	1,22E+00	0,9037319	4,36E-01	-0,42236231	-0,44459191	-2,0741971	4,60E+00	R2	y1	b1	f6
B2.R2.b2.f6.g1.p1.u3.y1	0,78268545	2,30E-01	0,5588823	1,09E-01	-0,13060003	-0,13747372	-1,1533977	1,97E+00	R2	y1	b2	f6
B4.R2.b5.f6.g1.p1.u3.y1	0,07717006	4,42E-02	0,6840824	1,03E-01	-0,15717647	-0,16544892	-1,2653225	9,14E-01	R2	y1	b5	f6
B6.R2.b7.f6.g1.p1.u3.y1	0,31722683	9,74E-02	0,683646	1,12E-01	-0,16597746	-0,17471311	-1,3002654	1,12E+00	R2	y1	b7	f6
R2.f7.g1.p1.u3.y1	1,82259471	0,31527511	0,7908717	1,99E-01	-0,3030828	-0,31903452	-1,7570661	2,92E+00	R2	y1	b0	f7
B1.R2.b1.f7.g1.p1.u3.y1	2,28889943	1,70070928	0,8701148	4,96E-01	-0,39023915	-0,41077806	-1,9937599	4,87E+00	R2	y1	b1	f7
B2.R2.b2.f7.g1.p1.u3.y1	0,85101273	0,50219598	0,4775482	1,15E-01	-0,09993041	-0,10518991	-1,008919	2,70E+00	R2	y1	b2	f7
B4.R2.b5.f7.g1.p1.u3.y1	0,09833313	0,30635066	0,5526039	1,04E-01	-0,10811525	-0,11380552	-1,0494238	1,65E+00	R2	y1	b5	f7
B6.R2.b7.f7.g1.p1.u3.y1	0,32226527	0,37048236	0,5615395	1,15E-01	-0,11747799	-0,12366104	-1,0939203	2,01E+00	R2	y1	b7	f7
R2.f8.g1.p1.u3.y1	2,22759462	0,37846405	0,662475	1,86E-01	-0,2561089	-0,26958832	-1,6151757	3,37E+00	R2	y1	b0	f8
B1.R2.b1.f8.g1.p1.u3.y1	2,30325628	2,19269469	0,8495808	5,72E-01	-0,37909146	-0,39904364	-1,9650764	5,11E+00	R2	y1	b1	f8
B2.R2.b2.f8.g1.p1.u3.y1	1,38478627	0,51931194	0,415712	1,09E-01	-0,08928523	-0,09398446	-0,9536681	3,10E+00	R2	y1	b2	f8
B4.R2.b5.f8.g1.p1.u3.y1	0,90569869	0,29023481	0,4557642	9,48E-02	-0,09300732	-0,09790244	-0,9733432	2,14E+00	R2	y1	b5	f8
B6.R2.b7.f8.g1.p1.u3.y1	1,05593076	0,33501898	0,4371956	9,61E-02	-0,08961792	-0,09433465	-0,9554432	2,40E+00	R2	y1	b7	f8
R2.f9.g1.p1.u3.y1	2,3164131	0,03143296	0,841587	1,72E-01	-0,37542123	-0,39518024	-1,9555407	2,50E+00	R2	y1	b0	f9
B1.R2.b1.f9.g1.p1.u3.y1	2,53123883	1,21140629	0,8802481	4,32E-01	-0,42079523	-0,44294235	-2,0703456	4,65E+00	R2	y1	b1	f9
B2.R2.b2.f9.g1.p1.u3.y1	1,16341181	0,22973575	0,5801832	1,20E-01	-0,15389163	-0,16199118	-1,2520306	2,24E+00	R2	y1	b2	f9
B4.R2.b5.f9.g1.p1.u3.y1	0,34597859	0,06439376	0,5970552	9,52E-02	-0,13187284	-0,13881352	-1,1590045	9,89E-01	R2	y1	b5	f9
B6.R2.b7.f9.g1.p1.u3.y1	0,60768007	0,10214802	0,5625267	9,62E-02	-0,12643547	-0,13308997	-1,134859	1,34E+00	R2	y1	b7	f9

